Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
31,47.79928255081177,57.17502975463867,54.63164162635803,68.74408984184265,82.79381060600281,82.72749328613281,82.8605887889862,83.1407995223999,83.92740035057068,84.4318380355835,84.50869464874268,84.115802526474,180.7078206539154
32,50.953284740448,61.96256422996521,59.39168167114258,78.43321919441223,98.28748369216919,99.07432270050049,97.5004391670227,97.04845857620239,99.66417193412781,100.152268409729,99.68635511398315,100.05802369117737,135.7586817741394
33,51.842968463897705,64.35223269462585,62.46276021003723,77.83456683158875,94.04718470573425,95.68246006965637,93.2992434501648,95.23290085792542,94.4626350402832,93.80473136901855,96.10151290893555,93.7259590625763,340.07029247283936
34,42.837870359420776,50.17500710487366,47.751694679260254,59.98330736160278,71.1916925907135,71.32531523704529,71.59033370018005,71.85701179504395,71.88449382781982,71.57736611366272,71.48022198677063,71.40168309211731,130.481773853302
35,52.537864208221436,65.11444282531738,63.43585658073425,78.91535091400146,95.34100675582886,96.50286769866943,94.01336789131165,95.99224543571472,95.24206566810608,94.47789978981018,96.6619234085083,94.02579736709595,338.69643664360046
36,42.891319274902344,50.221378326416016,47.740914821624756,60.13226842880249,71.47798562049866,71.61032676696777,71.44452953338623,71.60300755500793,71.76667523384094,71.5810718536377,71.44556903839111,71.59983968734741,112.36452150344849
37,50.585699796676636,60.053412675857544,57.151620864868164,67.72582721710205,78.81617641448975,78.77975416183472,78.47784876823425,79.74581909179688,79.62972378730774,77.07210779190063,79.28488564491272,79.78516602516174,115.36081099510193
38,50.78753328323364,60.86202621459961,57.64394688606262,75.23118758201599,94.82478022575378,95.23016953468323,96.53214573860168,97.29121160507202,98.15601229667664,100.36360144615173,100.94828414916992,98.15441036224365,200.65598440170288
39,52.965391397476196,62.942415714263916,60.66590356826782,79.44657230377197,99.65877938270569,100.07083201408386,99.18192744255066,99.01523852348328,102.19684529304504,102.3982892036438,100.77425360679626,101.22418165206909,148.51009011268616
40,47.109965085983276,56.842642307281494,54.35373139381409,69.36877346038818,84.65518927574158,85.07965207099915,84.95240640640259,84.88722014427185,84.86972093582153,84.8686876296997,84.84071254730225,84.98825216293335,273.5109157562256
41,49.608518838882446,59.4672646522522,57.119983196258545,72.42886257171631,87.12222290039062,87.33601665496826,86.791579246521,86.32751393318176,86.14894342422485,86.11110591888428,86.02955651283264,85.76477336883545,357.05910778045654
42,48.051352739334106,57.89318799972534,53.07850527763367,71.51514840126038,86.901691198349,89.11715531349182,91.28432297706604,90.48145771026611,89.91017460823059,90.47947406768799,88.11169147491455,88.33271503448486,138.40574431419373
43,49.57447361946106,59.31177830696106,57.18449139595032,72.75647044181824,89.11290097236633,89.34503936767578,88.10623073577881,88.82651686668396,89.70733618736267,88.82128930091858,88.21544194221497,87.71975636482239,139.50296831130981
