Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
20,32.24831795692444,40.95626997947693,39.93259239196777,23.673256397247314,32.122013092041016,25.30451989173889,31.731614351272583,32.26082253456116,32.8064398765564,31.953730583190918,32.598228454589844,31.835638284683228,21.741995573043823,21.274571895599365,20.388949394226074,29.275644779205322,32.01877188682556
21,31.197332620620728,43.196401596069336,43.515034437179565,24.59500217437744,41.19161343574524,25.577688932418823,41.0371789932251,40.56746554374695,40.43628263473511,40.726335287094116,40.69900846481323,37.997694969177246,24.03937602043152,23.28835439682007,20.08495593070984,30.84109377861023,41.12424182891846
22,31.6255464553833,39.36056160926819,38.167296171188354,22.959715366363525,30.282214164733887,24.41355800628662,31.586034774780273,31.431872367858887,31.462759017944336,31.42812728881836,31.481706619262695,31.419776439666748,21.440529823303223,21.4080069065094,19.60374093055725,28.368468046188354,31.523659229278564
23,30.96667742729187,41.654961585998535,43.45596623420715,25.058077573776245,42.448219537734985,26.12458300590515,42.285892486572266,42.131688833236694,41.7648401260376,42.15317487716675,41.82996582984924,37.56573987007141,25.796440601348877,24.53213095664978,20.3894944190979,31.18899631500244,42.219634771347046
24,31.296724557876587,42.28048300743103,44.54940605163574,25.12417435646057,42.12386512756348,27.171281099319458,41.7053906917572,41.48778796195984,41.21087288856506,41.443135023117065,41.78107023239136,40.92220330238342,24.86725401878357,24.821606636047363,20.822531700134277,34.57168126106262,41.822543144226074
25,30.90653133392334,45.365591526031494,45.28082728385925,23.677938222885132,37.93454909324646,25.25968623161316,38.26509666442871,38.065754413604736,37.825278759002686,38.04073905944824,38.01746129989624,36.97456192970276,21.71198844909668,20.95754837989807,19.970547914505005,30.783843994140625,38.34711527824402
26,34.36412477493286,47.669217586517334,41.29502511024475,23.960660219192505,36.43708372116089,25.56057381629944,39.49776315689087,41.37812376022339,41.8054621219635,37.994094371795654,37.746824502944946,40.97245788574219,21.678515672683716,20.992257118225098,20.18987226486206,30.301063776016235,36.51273488998413
27,31.6652410030365,49.213815212249756,47.619582414627075,24.398637294769287,40.914143800735474,26.001290798187256,40.9733362197876,40.222917795181274,38.86492085456848,38.95695495605469,40.62902116775513,40.35812258720398,23.67159080505371,21.835923671722412,20.451444149017334,31.180253505706787,42.28402280807495
28,31.06861448287964,42.36317849159241,44.61089587211609,24.999857902526855,41.79589819908142,26.996036529541016,41.30722165107727,41.08574414253235,41.107595682144165,41.10099744796753,41.48698139190674,40.62432670593262,24.83020544052124,24.677766799926758,20.684864282608032,34.35691499710083,41.51982069015503
29,31.779236316680908,52.41059756278992,50.76848340034485,24.466435432434082,43.176552295684814,25.654577016830444,43.27620077133179,43.34562087059021,43.210243701934814,43.5280020236969,43.519165992736816,42.96021914482117,21.644707918167114,21.0867338180542,20.06579041481018,33.43592691421509,43.410327672958374
30,31.177695989608765,48.50110936164856,49.8751106262207,24.282049417495728,43.175116300582886,25.79866337776184,43.11254382133484,42.99816942214966,42.62131452560425,42.69054985046387,43.05873894691467,42.560713052749634,22.189985752105713,21.30310869216919,20.137025594711304,32.36640644073486,43.09782028198242
31,30.92911434173584,46.094945430755615,45.225717306137085,23.687677145004272,37.87477517127991,25.173376321792603,38.05907201766968,37.77441716194153,37.47986721992493,37.77513122558594,37.87542939186096,36.75288367271423,21.560588598251343,20.94246006011963,19.816333770751953,30.71671438217163,38.15509271621704
32,32.35408067703247,51.07616138458252,45.80372476577759,24.131838083267212,38.87930250167847,25.452468633651733,37.795846462249756,35.640358448028564,34.530885219573975,38.28061652183533,38.47442889213562,35.03992295265198,22.08113694190979,21.32448697090149,19.852928161621094,31.907294034957886,38.14103817939758
33,32.61633515357971,48.669925689697266,46.04310989379883,24.137384176254272,39.03039050102234,25.39207124710083,38.06554555892944,35.664084911346436,34.797221422195435,38.53825259208679,38.673890590667725,35.217371463775635,22.2577486038208,21.394712209701538,20.08573031425476,32.09200167655945,38.33393335342407
34,31.095874547958374,38.26358127593994,37.568132638931274,23.18595862388611,30.571943521499634,24.903602600097656,30.524511337280273,30.61367440223694,30.600396156311035,30.693007707595825,30.512331247329712,30.732630252838135,21.169645071029663,20.67837882041931,19.911982774734497,28.470269203186035,30.71096158027649
35,32.14134645462036,52.17594361305237,45.8049681186676,23.92673945426941,38.90496206283569,25.186168670654297,37.71198558807373,35.63328576087952,34.44522261619568,38.20549035072327,38.452197313308716,34.98255467414856,21.83376908302307,21.269540309906006,19.850019454956055,31.900086641311646,38.10688352584839
