Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
23,18.20317244529724,19.26750612258911,16.612639904022217,12.73800539970398,13.718815803527832,12.37345004081726,14.191273927688599,14.067650318145752,14.156596660614014,13.784719467163086,13.673499345779419,14.324533700942993,12.092832803726196,11.848465919494629,11.536346912384033,13.317127704620361,13.896974086761475
24,19.060930252075195,20.166634559631348,17.348013877868652,14.80620813369751,14.611584663391113,14.110672950744629,14.677924156188965,14.720450639724731,14.637473106384277,14.689708709716797,14.665834665298462,14.794780731201172,13.284899234771729,12.916342496871948,13.257780313491821,14.568699836730957,14.65634536743164
25,18.210859060287476,20.56146216392517,18.590142965316772,13.174761772155762,15.522335529327393,12.71564507484436,15.648263454437256,15.627299308776855,15.49817967414856,15.521941661834717,15.636167526245117,15.523887395858765,12.570823907852173,12.243741989135742,11.770067930221558,13.966437816619873,15.313947916030884
26,19.424652099609375,21.091955184936523,19.089406490325928,14.081233501434326,16.128699779510498,13.676474332809448,15.492419004440308,15.508037805557251,15.592510461807251,15.268340826034546,16.161582469940186,15.55782675743103,13.547192573547363,13.22235631942749,12.657392024993896,15.081148624420166,16.0543315410614
27,19.594461679458618,21.68369174003601,17.512006282806396,13.523655414581299,15.585399866104126,13.126497983932495,15.843647480010986,15.500073909759521,16.468154191970825,16.10150694847107,15.844057321548462,16.331623792648315,12.598833322525024,12.665560960769653,12.295232772827148,14.436021089553833,15.556432247161865
28,17.638874292373657,18.63413429260254,16.73384690284729,12.683390617370605,14.257697105407715,12.299422264099121,14.161863327026367,14.229644536972046,14.20140790939331,14.232281923294067,14.176666259765625,14.212524175643921,12.096728086471558,11.81505537033081,11.496816635131836,13.453782796859741,14.256423711776733
29,18.68129849433899,20.15885066986084,17.35368585586548,13.888797283172607,14.581173181533813,13.672345876693726,14.607474088668823,14.620752811431885,14.681093215942383,14.55315637588501,14.52449917793274,14.65377688407898,12.865345239639282,12.718682527542114,13.076924324035645,14.26288890838623,14.553298234939575
30,19.53828716278076,21.6696617603302,17.45754313468933,13.457469940185547,15.501550436019897,13.068136930465698,15.723392486572266,15.42148232460022,16.416334867477417,16.096336603164673,15.758888006210327,16.314647674560547,12.53739309310913,12.619182825088501,12.24822473526001,14.402278423309326,15.457177877426147
31,17.999823093414307,20.150918006896973,17.74148201942444,13.256458759307861,15.443365097045898,12.714850664138794,15.114145040512085,15.374495029449463,15.34699559211731,15.276476860046387,15.276937007904053,15.297132015228271,12.949913024902344,12.545560359954834,11.831016540527344,14.045064687728882,15.381975173950195
32,17.838455200195312,18.963231563568115,17.07892942428589,12.791343927383423,14.337916851043701,12.360568761825562,14.308374404907227,14.383642435073853,14.26791501045227,14.478274583816528,14.377198696136475,14.363121032714844,12.247802257537842,11.943358421325684,11.584666967391968,13.518112897872925,14.30448603630066
33,19.461881399154663,21.97049903869629,17.36322045326233,13.975472688674927,15.21404504776001,13.811892747879028,15.439032793045044,15.601378917694092,15.854692220687866,16.208133935928345,15.535902976989746,16.146234273910522,12.823474168777466,12.432058334350586,12.828404664993286,15.043946743011475,15.312633275985718
34,18.039637088775635,19.37214994430542,17.11613154411316,13.03879189491272,14.437555313110352,12.700071334838867,14.384252071380615,14.29853343963623,14.39639139175415,14.34553337097168,14.37024474143982,14.28961968421936,12.380834102630615,12.147185325622559,11.791787147521973,13.88795518875122,14.381296873092651
