Simulation,GSx,"WiGS (MAB-UCB1, c=0.5)",WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (SAC),GSy,WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=2.0)",QBC,"WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=5.0)",Passive Learning,iGS
21,19.89047145843506,29.071128129959106,33.651248931884766,33.04840111732483,40.38176250457764,20.479092359542847,32.73789739608765,28.909711837768555,28.34296464920044,26.96854591369629,32.97838830947876,28.694976091384888,17.452972888946533,24.454465866088867
22,20.361923933029175,31.6431565284729,34.11405634880066,33.214091539382935,45.86121916770935,21.029908895492554,36.19007968902588,35.5771918296814,31.84602928161621,27.208101511001587,36.04165172576904,36.117929458618164,17.553966999053955,25.556946277618408
23,19.95213222503662,27.37022089958191,33.207600593566895,33.80345296859741,39.486897706985474,20.383487701416016,33.1998496055603,28.41829490661621,27.4629909992218,26.80188775062561,33.588584184646606,27.760749340057373,17.50721573829651,23.734914779663086
24,20.032434940338135,27.877232313156128,28.44464612007141,28.579272508621216,40.710442781448364,20.566853523254395,33.447800159454346,28.78772759437561,28.71957302093506,27.019421100616455,34.09188652038574,32.78522276878357,17.6460599899292,23.797730922698975
25,19.677196502685547,26.768585920333862,31.814820528030396,26.797239542007446,38.51080513000488,20.318273782730103,26.309810400009155,25.940547227859497,26.30509376525879,27.156153917312622,26.874627590179443,27.05813956260681,17.47191095352173,22.650112867355347
26,19.586930513381958,26.590876817703247,31.73002314567566,31.821428298950195,40.43581771850586,20.64438486099243,27.333179473876953,26.567625999450684,30.351650953292847,27.6606342792511,27.217315435409546,30.69639801979065,17.65753483772278,22.668728590011597
27,19.846994638442993,29.889729499816895,28.311690092086792,27.345980405807495,42.946101665496826,20.452024936676025,32.861487865448,34.24125361442566,29.993414402008057,28.82016634941101,35.99118661880493,35.32141184806824,17.455976009368896,22.97947883605957
28,19.612139225006104,31.482817888259888,31.43226981163025,31.766783237457275,38.528682470321655,20.219428777694702,27.42528986930847,30.88780450820923,27.34577465057373,26.874948501586914,31.18663740158081,32.02495718002319,17.43636989593506,22.65263557434082
29,20.34480118751526,29.835375785827637,34.09181761741638,33.849223375320435,41.601844787597656,21.00590491294861,29.81441044807434,30.13007926940918,34.36157178878784,29.551450967788696,30.172918558120728,34.15445375442505,18.001264095306396,23.62544536590576
30,19.76691198348999,32.91699576377869,33.48597478866577,32.99610996246338,39.517581939697266,20.37329125404358,28.508124351501465,33.101823806762695,28.00983762741089,26.69530987739563,32.71649384498596,32.611119747161865,17.666977643966675,24.429038047790527
31,19.588760137557983,32.467833042144775,31.71762490272522,32.01481366157532,39.19822096824646,20.426644563674927,28.351550102233887,32.60245633125305,28.692708253860474,26.7328999042511,32.57860541343689,32.31895685195923,17.335036516189575,23.482078552246094
32,19.439117670059204,30.95262098312378,31.3037166595459,31.1978657245636,39.54067277908325,20.93885636329651,26.544094562530518,30.44264554977417,26.932507514953613,27.096426486968994,31.295761823654175,31.19890546798706,18.168232917785645,22.315624237060547
33,19.428510904312134,27.105368614196777,27.221240758895874,27.17215847969055,39.0332350730896,19.987159729003906,31.961830377578735,31.657267332077026,27.54023575782776,26.632011890411377,32.095503091812134,32.816994428634644,17.317136764526367,22.60922074317932
34,20.221508979797363,28.747503757476807,33.514437198638916,33.32011675834656,39.68873977661133,21.332524061203003,28.720936059951782,29.01248788833618,32.83618664741516,27.920625686645508,28.966742992401123,32.54605555534363,18.239733457565308,23.586979389190674
35,20.183093070983887,29.38181209564209,33.466530323028564,29.278959035873413,40.68539476394653,21.271477699279785,33.57551598548889,29.62712788581848,28.86816954612732,27.631616830825806,34.146589279174805,33.04916787147522,18.188515663146973,23.91203022003174
36,20.097609758377075,33.05158853530884,36.26901984214783,36.093141317367554,38.67136740684509,20.700552701950073,29.66595959663391,35.78908181190491,28.575003147125244,26.900734424591064,35.43862462043762,33.416091442108154,17.663622617721558,24.253576278686523
