Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
12,5.5210089683532715,5.6295387744903564,5.6489222049713135,5.850905179977417,5.702266693115234,6.172455310821533,5.424902677536011,5.97791314125061,6.011549472808838,5.88237190246582,5.989984750747681,6.101838111877441,5.993044376373291,6.162495136260986,6.077953338623047,8.65911602973938,8.428112030029297
13,5.001992464065552,5.224490642547607,5.380392551422119,5.488519191741943,5.336351633071899,5.690195083618164,5.127868890762329,5.52480673789978,5.520299911499023,5.552852630615234,5.54167628288269,5.540792942047119,5.536179780960083,5.688463449478149,5.543970823287964,19.74021315574646,7.8716654777526855
14,6.001821756362915,6.2429139614105225,6.506654977798462,6.717656850814819,6.487696886062622,6.8623785972595215,6.364793539047241,6.829144477844238,6.879484176635742,6.841938734054565,6.8542280197143555,6.868210077285767,6.84856104850769,6.967265367507935,6.832160234451294,9.907658338546753,9.727487087249756
15,4.957442045211792,5.180257081985474,5.334577798843384,5.455332517623901,5.249557971954346,5.613896369934082,5.143167734146118,5.512892961502075,5.522197008132935,5.530091762542725,5.510454893112183,5.513601779937744,5.5042665004730225,5.62444543838501,5.569705247879028,8.707313299179077,7.885441780090332
16,6.01358437538147,6.233172655105591,6.494534730911255,6.703488349914551,6.431731462478638,6.895805597305298,6.359397888183594,6.854021310806274,6.826868057250977,6.830206394195557,6.836246490478516,6.856114149093628,6.84702205657959,6.961576461791992,6.804462432861328,9.888599395751953,9.681978464126587
17,6.023143291473389,6.254157543182373,6.516571283340454,6.732201337814331,6.474708318710327,6.876750230789185,6.3726582527160645,6.8394904136657715,6.830438852310181,6.837721109390259,6.856074094772339,6.865711688995361,6.864145994186401,6.963518142700195,6.832177400588989,9.899710893630981,9.709317684173584
18,4.945329427719116,5.171701192855835,5.3361594676971436,5.427310228347778,5.471994876861572,5.793505907058716,5.086027145385742,5.499509334564209,5.504205703735352,5.498208045959473,5.511549949645996,5.530620574951172,5.481263875961304,5.511882305145264,5.644166469573975,19.940454959869385,7.865384340286255
19,5.4954917430877686,5.6493120193481445,5.658555507659912,5.862503528594971,5.722184181213379,6.15269923210144,5.4462361335754395,5.9549782276153564,5.967401742935181,5.825333118438721,5.950283765792847,6.067526340484619,5.964003324508667,6.1034345626831055,6.069788694381714,8.573677062988281,8.444870710372925
20,4.990238904953003,5.203182697296143,5.356235504150391,5.469478130340576,5.284325838088989,5.649604320526123,5.165981292724609,5.55875563621521,5.567227840423584,5.579688549041748,5.553999662399292,5.550921440124512,5.560930490493774,5.567147254943848,5.7086567878723145,8.350971698760986,7.880785226821899
21,6.1292197704315186,6.359769105911255,6.6196770668029785,6.736893892288208,6.555799961090088,6.889812469482422,6.364112377166748,6.802139520645142,6.8484108448028564,6.8267364501953125,6.8105621337890625,6.754873037338257,6.84476900100708,7.037991046905518,6.829824924468994,8.592868566513062,8.382878541946411
22,6.015043258666992,6.233481168746948,6.504486799240112,6.714600086212158,6.453118324279785,6.8620805740356445,6.328747749328613,6.820641756057739,6.814594745635986,6.8123650550842285,6.816627740859985,6.838585615158081,6.816308975219727,6.9408860206604,6.783157825469971,9.88178277015686,9.654598474502563
23,5.552128791809082,5.730125665664673,5.727994441986084,5.943448066711426,5.812060117721558,6.22047233581543,5.495637893676758,6.062748670578003,6.057931423187256,5.942437410354614,6.104019403457642,6.165712118148804,6.046826362609863,6.2533628940582275,6.128096103668213,8.745753526687622,8.552861213684082
24,4.993886947631836,5.241891384124756,5.391876220703125,5.451805830001831,5.279948472976685,5.634234666824341,5.141376972198486,5.509741306304932,5.533118486404419,5.594245433807373,5.539879322052002,5.533133506774902,5.537842750549316,5.5339035987854,5.6710045337677,8.072045803070068,7.920123815536499
