Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,EGAL
22,9.91187572479248,10.173656225204468,10.475099802017212,10.62522006034851,11.205381870269775,11.214611291885376,11.2518892288208,11.301818609237671,11.30152153968811,305.4116232395172,15.522899150848389,10.230015277862549,12.596073627471924
23,9.867799758911133,10.1732919216156,10.808392763137817,10.964850425720215,11.068201541900635,11.052080869674683,11.061631441116333,11.009603261947632,10.885072231292725,334.7509431838989,15.301641941070557,10.101462841033936,10.610491514205933
24,10.500772953033447,10.796215772628784,11.190044403076172,11.459420204162598,11.477700233459473,11.448161125183105,11.559704303741455,11.438894510269165,11.40792465209961,175.99266648292542,16.030194759368896,10.160068035125732,11.021269083023071
25,10.277465343475342,10.662266731262207,10.970457792282104,11.10597562789917,11.165889501571655,11.16213345527649,11.02377963066101,10.897619247436523,10.882253646850586,375.8190565109253,15.729918956756592,10.33308744430542,10.963299036026001
26,10.722936153411865,11.146143198013306,11.487981081008911,11.646997928619385,11.775110721588135,11.867414236068726,11.850108861923218,11.847196102142334,11.665320873260498,372.6536235809326,16.73438000679016,11.706813097000122,11.712114095687866
27,10.413017272949219,10.778921365737915,11.106504678726196,11.251674890518188,11.388334274291992,11.474352359771729,11.445243835449219,11.447132587432861,11.368982791900635,374.580708026886,16.164162635803223,11.827868461608887,11.498160123825073
28,10.071375131607056,10.543999433517456,10.839431047439575,10.991400480270386,11.120248794555664,11.102298021316528,11.028966188430786,10.97172498703003,10.975415706634521,313.67950677871704,15.314775466918945,10.371225833892822,10.904020071029663
29,10.15543818473816,10.501256465911865,10.83789873123169,10.958309650421143,11.094293594360352,11.069721460342407,11.01327109336853,10.932472229003906,10.912058591842651,334.35838294029236,15.914376497268677,10.377383947372437,10.954556226730347
30,10.246515274047852,10.629783153533936,10.938127517700195,11.087218999862671,11.21202039718628,11.294953107833862,11.270467758178711,11.28120231628418,11.285960912704468,371.2586863040924,16.1832537651062,17.202897310256958,11.510013580322266
31,9.823782444000244,10.27771782875061,10.569368839263916,10.717995643615723,10.822471380233765,10.832113265991211,10.831631898880005,10.81032109260559,12.181483030319214,296.24022126197815,15.231835842132568,10.017152070999146,11.552305221557617
32,9.959848880767822,10.259155511856079,10.53718876838684,10.66875171661377,11.293577194213867,11.265557765960693,11.308930397033691,11.36290192604065,11.54201889038086,303.7928340435028,15.568133354187012,10.247615337371826,11.240895986557007
33,10.445487260818481,10.780807495117188,11.133022785186768,11.424337148666382,11.490309476852417,11.394660234451294,11.517888307571411,11.440202951431274,11.370744943618774,152.50388741493225,15.348862886428833,10.184362173080444,11.023998737335205
34,10.240051031112671,10.84875226020813,11.006264209747314,11.052046775817871,11.037307500839233,11.014336824417114,11.003711462020874,11.054751634597778,11.005139827728271,294.60715985298157,15.79508662223816,10.379460096359253,10.984895467758179
35,10.284838199615479,10.854344844818115,10.891194105148315,10.990030288696289,10.921728134155273,10.863287448883057,10.86269998550415,10.870332479476929,10.83775019645691,297.67524242401123,15.788623094558716,10.328293085098267,10.971035957336426
36,10.185414552688599,10.575075387954712,10.872320652008057,11.031227827072144,11.283489465713501,11.23468565940857,11.161062002182007,11.289883852005005,11.254294872283936,175.45885968208313,15.483967781066895,10.17106580734253,10.685225009918213
37,10.192111015319824,10.497493505477905,10.83056354522705,10.978353261947632,11.09416127204895,11.049494981765747,11.0133376121521,10.943784952163696,10.879694700241089,333.01256108283997,16.29386568069458,10.38132929801941,10.950053215026855
38,9.89297866821289,10.14523959159851,10.602344036102295,10.582098484039307,10.955041885375977,11.180793285369873,11.221251964569092,11.285318613052368,11.295466184616089,303.8620991706848,15.498546123504639,11.709525346755981,11.3667573928833
39,9.878759384155273,10.17401647567749,10.456952333450317,10.933893918991089,11.1319100856781,11.140782833099365,11.126163244247437,11.123401403427124,11.1350576877594,137.02720022201538,15.386160612106323,10.31157374382019,12.353070735931396
40,10.192077159881592,10.483609437942505,10.788696765899658,10.945401430130005,11.448431491851807,11.556694984436035,11.606159687042236,11.665268898010254,11.563226699829102,303.15262842178345,15.971788883209229,10.588981866836548,11.56668496131897
41,10.432673931121826,10.732099056243896,11.107610702514648,11.369134664535522,11.498985767364502,11.358122110366821,11.470824956893921,11.367063760757446,11.316627025604248,179.31926131248474,15.648422956466675,10.119017124176025,10.649138689041138
42,10.331191539764404,10.853156566619873,11.1763596534729,11.046990156173706,11.022181272506714,11.014326095581055,11.012638330459595,11.007193803787231,10.94828200340271,300.7849135398865,15.77396297454834,10.403839349746704,10.936734437942505
43,9.952484130859375,10.422343015670776,10.817773580551147,11.075555086135864,11.168200969696045,11.167680978775024,11.161480188369751,11.164321660995483,11.025453090667725,315.2837769985199,15.450441598892212,10.202064514160156,10.705925226211548
44,10.208155155181885,10.546015501022339,10.844943046569824,10.972201347351074,11.053879976272583,11.063637256622314,10.901034355163574,10.78041386604309,10.767772674560547,378.4218969345093,15.686440467834473,10.229488611221313,10.883264541625977
45,10.248035907745361,10.525095462799072,10.829441547393799,10.970076322555542,11.100534915924072,11.224663019180298,11.385842561721802,11.205413103103638,11.24701738357544,304.5368251800537,15.423367738723755,10.124451875686646,10.629578113555908
46,10.035579681396484,10.71115779876709,10.935722589492798,10.965409517288208,11.008015632629395,10.856268405914307,10.851466178894043,10.855936050415039,10.862494230270386,261.04478096961975,15.325805902481079,10.119656085968018,10.892200469970703
