Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
17,2.526420831680298,2.559763193130493,2.6245291233062744,2.6326181888580322,2.6484768390655518,2.668144941329956,2.707240581512451,2.7245616912841797,2.717081308364868,2.718820810317993,2.7002146244049072,2.663208484649658,577.9458653926849,3.8802692890167236
18,2.511787176132202,2.551427125930786,2.627028703689575,2.625760078430176,2.6404788494110107,2.642965078353882,2.6605777740478516,2.689366340637207,2.7229723930358887,2.725703477859497,2.7200896739959717,2.7156341075897217,569.5494630336761,3.8736414909362793
19,2.610504150390625,2.658881902694702,2.7404565811157227,2.748366355895996,2.7596359252929688,2.756924629211426,2.7431395053863525,2.730015277862549,2.7253599166870117,2.7252140045166016,2.726918935775757,2.687279224395752,598.3590054512024,4.010116100311279
20,2.5686557292938232,4.545282363891602,2.714556932449341,2.6977546215057373,2.732067584991455,2.7291815280914307,2.722939968109131,2.721149444580078,2.6944973468780518,2.713411808013916,2.6853187084198,2.9828579425811768,598.3570415973663,3.934845209121704
21,2.511624574661255,2.5701940059661865,2.6678531169891357,4.986260652542114,2.7009427547454834,2.9157681465148926,2.6867895126342773,2.6902387142181396,2.6863982677459717,2.689296007156372,2.6818673610687256,2.670767307281494,591.813051700592,3.905359983444214
22,2.6072001457214355,2.648164749145508,2.727290630340576,2.7357730865478516,2.7429516315460205,2.744688034057617,2.7461018562316895,2.747541904449463,2.7502849102020264,2.73702335357666,2.7091541290283203,2.8658082485198975,568.729941368103,3.987809181213379
23,2.612274646759033,2.6717827320098877,2.749419689178467,2.7580153942108154,2.770758867263794,2.9794445037841797,2.7509684562683105,2.735558271408081,2.735055923461914,2.7388193607330322,2.738487482070923,2.700798273086548,598.2710249423981,4.025160074234009
24,2.618908643722534,2.660949468612671,2.7392094135284424,2.7468349933624268,2.758268356323242,2.7557191848754883,2.7445719242095947,2.728961944580078,2.7249584197998047,2.729912757873535,2.7277660369873047,2.686112880706787,597.7409036159515,4.009084463119507
25,2.7914319038391113,2.7097837924957275,2.7090158462524414,2.7189297676086426,2.727872848510742,2.7196414470672607,2.706524133682251,2.695467948913574,2.6932976245880127,2.6960885524749756,2.6875996589660645,2.6386516094207764,597.2616765499115,3.9567441940307617
26,2.5541722774505615,3.9201602935791016,2.7110435962677,2.7228033542633057,2.7359843254089355,2.7343549728393555,2.735583543777466,2.734905958175659,2.706258773803711,2.7356247901916504,2.7012007236480713,2.8817975521087646,600.1471002101898,3.941859006881714
27,2.5996286869049072,2.6534383296966553,2.7355895042419434,2.945927143096924,2.7521731853485107,2.7519290447235107,2.734731674194336,2.7216126918792725,2.719249963760376,2.7216668128967285,2.7231249809265137,2.6881980895996094,597.8131425380707,4.221805572509766
28,2.50715708732605,2.557419538497925,2.629023551940918,2.6316137313842773,2.6446642875671387,2.649665355682373,2.665465831756592,2.708925724029541,2.7354519367218018,2.7320547103881836,2.729743003845215,2.718468427658081,576.6804821491241,4.093132495880127
29,2.618980884552002,2.666063070297241,2.744870901107788,2.7557485103607178,2.763401985168457,2.7634735107421875,2.761151075363159,2.7672696113586426,2.766200542449951,2.7565088272094727,2.7309861183166504,2.6721909046173096,569.2652189731598,4.018960475921631
30,2.581488609313965,2.6537399291992188,2.7303929328918457,2.740036964416504,2.752816677093506,2.7486729621887207,2.7395074367523193,2.8188111782073975,2.7191388607025146,2.721937656402588,2.722435712814331,2.701103448867798,598.6365582942963,4.054544448852539
31,2.540432929992676,2.5619051456451416,2.6914796829223633,2.7015128135681152,5.3454296588897705,2.7039525508880615,3.1253483295440674,2.6908178329467773,2.691251516342163,2.7163734436035156,2.6990270614624023,2.703415870666504,589.851212978363,3.910958766937256
32,2.6031911373138428,2.6845273971557617,2.756466865539551,2.7581937313079834,2.7456839084625244,2.695786714553833,2.669672727584839,2.6676416397094727,2.667412281036377,2.676835060119629,2.678246259689331,2.666065216064453,592.7807366847992,3.9360740184783936
33,2.560706853866577,2.6080095767974854,2.688396453857422,2.6683309078216553,2.6835525035858154,2.6902878284454346,2.719677686691284,2.7398929595947266,2.7627453804016113,2.751695394515991,2.7538633346557617,2.7135884761810303,577.8212234973907,3.9660770893096924
34,2.542527914047241,2.582199811935425,2.6745567321777344,2.7142391204833984,2.758746862411499,2.745500087738037,2.7448482513427734,2.7066571712493896,2.6700894832611084,2.658686876296997,2.8710415363311768,2.65368390083313,584.3807311058044,3.903841972351074
35,2.6113550662994385,5.883954763412476,2.6927826404571533,2.6885807514190674,2.7141666412353516,2.724377155303955,2.705897092819214,2.711076259613037,2.6855576038360596,2.7884345054626465,2.665930986404419,3.009284496307373,598.4668564796448,3.9186177253723145
36,2.609283447265625,2.6581313610076904,2.7356417179107666,2.7444684505462646,2.7539865970611572,2.755957841873169,2.739363670349121,2.725296974182129,2.7237608432769775,2.7245914936065674,2.719405174255371,2.68131160736084,598.2444186210632,4.004013776779175
37,2.618724822998047,2.6566364765167236,2.7281525135040283,2.727299451828003,2.69691801071167,2.6534199714660645,2.6423227787017822,2.6405532360076904,2.6397478580474854,2.638906478881836,2.631859064102173,2.630594253540039,596.8986487388611,3.889099359512329
38,2.6488277912139893,2.760599374771118,2.843230962753296,2.8494300842285156,2.8672337532043457,2.863219738006592,2.8600263595581055,2.8417205810546875,2.8314993381500244,3.0353729724884033,2.8361570835113525,2.8158442974090576,599.3874368667603,4.180155277252197
39,2.572206497192383,4.916424751281738,2.7198266983032227,2.7264339923858643,2.7433347702026367,2.7383010387420654,2.7390005588531494,2.7400403022766113,2.7102887630462646,2.737492561340332,2.7042863368988037,2.8384242057800293,596.6127858161926,3.97757887840271
40,2.523571252822876,2.5741772651672363,2.686760187149048,5.464601278305054,2.7159340381622314,3.116421937942505,2.702664375305176,2.7041640281677246,2.7061657905578613,2.704577684402466,2.6909148693084717,2.681011438369751,591.4193956851959,3.9491665363311768
41,2.588193893432617,5.103198289871216,2.717921018600464,2.712648630142212,2.7154927253723145,2.7294507026672363,2.7107183933258057,2.7152316570281982,2.702306032180786,2.7154479026794434,2.7025654315948486,2.9898674488067627,598.7907993793488,3.997206211090088
42,2.5804030895233154,2.661912441253662,2.746760368347168,2.744227647781372,2.7442784309387207,2.6973319053649902,2.6620917320251465,2.674548864364624,2.688220262527466,2.681473970413208,2.6868703365325928,2.664928913116455,593.333987236023,3.9234535694122314
43,2.5504472255706787,2.645681142807007,2.725388526916504,2.731765031814575,2.746795415878296,2.7443792819976807,2.7414557933807373,2.727494239807129,2.7154791355133057,2.71718430519104,2.7165780067443848,2.71128511428833,595.4378592967987,3.9812171459198
44,2.5560836791992188,2.662461042404175,2.7464194297790527,2.7572691440582275,2.7739665508270264,2.7674458026885986,2.770386219024658,2.7755730152130127,2.7739975452423096,2.777188539505005,2.7645905017852783,2.7331883907318115,568.5969772338867,4.088303089141846
