Iteration,Sim_0,Sim_1,Sim_2
312,[146.0],[299.0],[56.0]
313,[807.0],[698.0],[202.0]
314,[590.0],[846.0],[603.0]
315,[369.0],[899.0],[911.0]
316,[696.0],[909.0],[505.0]
317,[66.0],[969.0],[190.0]
318,[354.0],[790.0],[926.0]
319,[793.0],[603.0],[730.0]
320,[327.0],[303.0],[222.0]
321,[577.0],[87.0],[283.0]
322,[436.0],[164.0],[638.0]
323,[20.0],[530.0],[958.0]
324,[245.0],[503.0],[259.0]
325,[107.0],[292.0],[309.0]
326,[919.0],[739.0],[61.0]
327,[476.0],[422.0],[605.0]
328,[68.0],[409.0],[992.0]
329,[726.0],[190.0],[626.0]
330,[983.0],[989.0],[260.0]
331,[715.0],[737.0],[649.0]
332,[447.0],[222.0],[510.0]
333,[586.0],[448.0],[275.0]
334,[21.0],[283.0],[743.0]
335,[106.0],[372.0],[350.0]
336,[109.0],[402.0],[339.0]
337,[930.0],[103.0],[527.0]
338,[510.0],[270.0],[940.0]
339,[439.0],[126.0],[645.0]
340,[112.0],[282.0],[473.0]
341,[754.0],[259.0],[228.0]
342,[960.0],[403.0],[401.0]
343,[665.0],[172.0],[745.0]
344,[449.0],[62.0],[87.0]
345,[434.0],[623.0],[591.0]
346,[201.0],[271.0],[457.0]
347,[647.0],[905.0],[274.0]
348,[260.0],[758.0],[200.0]
349,[345.0],[707.0],[712.0]
350,[512.0],[767.0],[570.0]
351,[440.0],[948.0],[361.0]
352,[191.0],[37.0],[872.0]
353,[905.0],[554.0],[306.0]
354,[118.0],[880.0],[341.0]
355,[846.0],[465.0],[595.0]
356,[228.0],[570.0],[186.0]
357,[197.0],[27.0],[103.0]
358,[671.0],[339.0],[73.0]
359,[53.0],[591.0],[126.0]
360,[383.0],[922.0],[174.0]
361,[700.0],[383.0],[238.0]
362,[405.0],[618.0],[403.0]
363,[951.0],[53.0],[62.0]
364,[899.0],[348.0],[461.0]
365,[188.0],[215.0],[943.0]
366,[121.0],[306.0],[218.0]
367,[914.0],[779.0],[277.0]
368,[552.0],[158.0],[165.0]
369,[650.0],[0.0],[524.0]
370,[163.0],[405.0],[219.0]
371,[651.0],[263.0],[529.0]
372,[824.0],[136.0],[868.0]
373,[253.0],[815.0],[771.0]
374,[164.0],[151.0],[699.0]
375,[422.0],[121.0],[314.0]
376,[375.0],[870.0],[725.0]
377,[409.0],[585.0],[892.0]
378,[995.0],[897.0],[617.0]
379,[190.0],[203.0],[956.0]
380,[302.0],[748.0],[47.0]
381,[641.0],[568.0],[492.0]
382,[209.0],[401.0],[550.0]
383,[222.0],[192.0],[523.0]
384,[259.0],[745.0],[136.0]
385,[37.0],[947.0],[188.0]
386,[888.0],[47.0],[601.0]
387,[417.0],[408.0],[301.0]
388,[370.0],[716.0],[149.0]
389,[433.0],[150.0],[474.0]
390,[664.0],[43.0],[700.0]
391,[634.0],[295.0],[636.0]
392,[99.0],[96.0],[623.0]
393,[123.0],[153.0],[323.0]
394,[770.0],[862.0],[353.0]
395,[454.0],[673.0],[254.0]
396,[676.0],[506.0],[888.0]
397,[181.0],[340.0],[433.0]
398,[750.0],[155.0],[400.0]
399,[40.0],[542.0],[883.0]
400,[772.0],[124.0],[982.0]
401,[539.0],[519.0],[123.0]
402,[588.0],[36.0],[770.0]
403,[544.0],[273.0],[676.0]
404,[294.0],[926.0],[181.0]
405,[505.0],[16.0],[79.0]
406,[353.0],[937.0],[750.0]
407,[729.0],[836.0],[459.0]
408,[964.0],[392.0],[718.0]
409,[600.0],[637.0],[539.0]
410,[110.0],[664.0],[590.0]
411,[19.0],[582.0],[66.0]
412,[597.0],[763.0],[487.0]
413,[896.0],[634.0],[919.0]
414,[602.0],[889.0],[31.0]
415,[885.0],[143.0],[934.0]
416,[689.0],[435.0],[342.0]
417,[416.0],[622.0],[885.0]
418,[269.0],[99.0],[620.0]
419,[493.0],[770.0],[493.0]
420,[250.0],[962.0],[855.0]
421,[855.0],[454.0],[234.0]
422,[598.0],[676.0],[368.0]
423,[735.0],[666.0],[57.0]
424,[234.0],[988.0],[728.0]
425,[368.0],[871.0],[598.0]
426,[71.0],[500.0],[895.0]
427,[612.0],[381.0],[877.0]
428,[752.0],[798.0],[689.0]
429,[229.0],[243.0],[668.0]
430,[728.0],[188.0],[220.0]
431,[414.0],[95.0],[352.0]
432,[839.0],[301.0],[95.0]
433,[161.0],[423.0],[167.0]
434,[584.0],[809.0],[741.0]
435,[346.0],[181.0],[45.0]
436,[162.0],[329.0],[207.0]
437,[87.0],[546.0],[16.0]
438,[928.0],[762.0],[36.0]
439,[114.0],[694.0],[894.0]
440,[296.0],[333.0],[989.0]
441,[193.0],[750.0],[502.0]
442,[591.0],[105.0],[170.0]
443,[779.0],[429.0],[46.0]
444,[94.0],[319.0],[656.0]
445,[76.0],[460.0],[761.0]
446,[848.0],[132.0],[144.0]
447,[307.0],[141.0],[669.0]
448,[85.0],[459.0],[647.0]
449,[455.0],[782.0],[571.0]
450,[216.0],[380.0],[466.0]
451,[423.0],[40.0],[587.0]
452,[756.0],[629.0],[562.0]
453,[491.0],[149.0],[262.0]
454,[559.0],[323.0],[964.0]
455,[573.0],[257.0],[110.0]
456,[978.0],[315.0],[122.0]
457,[41.0],[481.0],[22.0]
458,[912.0],[633.0],[166.0]
459,[51.0],[687.0],[896.0]
460,[916.0],[991.0],[416.0]
461,[649.0],[700.0],[269.0]
462,[822.0],[636.0],[641.0]
463,[393.0],[985.0],[916.0]
464,[967.0],[978.0],[690.0]
465,[153.0],[487.0],[967.0]
466,[349.0],[232.0],[429.0]
467,[355.0],[278.0],[460.0]
468,[361.0],[163.0],[938.0]
469,[199.0],[834.0],[380.0]
470,[275.0],[649.0],[90.0]
471,[200.0],[337.0],[604.0]
472,[872.0],[560.0],[294.0]
473,[340.0],[379.0],[588.0]
474,[212.0],[996.0],[997.0]
475,[741.0],[284.0],[21.0]
476,[147.0],[184.0],[132.0]
477,[350.0],[939.0],[644.0]
478,[238.0],[802.0],[655.0]
479,[571.0],[825.0],[102.0]
480,[174.0],[418.0],[253.0]
481,[658.0],[966.0],[597.0]
