Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
10,14.725484371185303,17.755500078201294,18.83541512489319,21.83322238922119,16.79583168029785,28.934091091156006,16.791479349136353,23.001917123794556,23.125415325164795,23.343722343444824,24.147279977798462,24.139708757400513,23.091764450073242,22.39359736442566,24.186908721923828,33.2554714679718,27.93812322616577
11,14.558597326278687,16.46333885192871,16.93971872329712,19.30596089363098,15.627498865127563,28.620617151260376,15.355780124664307,22.752883911132812,23.54605793952942,23.402713298797607,23.594324111938477,23.582520723342896,23.427494049072266,23.3298761844635,23.231294870376587,29.68774700164795,23.397652626037598
12,17.369940757751465,18.160234689712524,20.763153791427612,22.620704412460327,19.239699602127075,34.3685736656189,21.387416124343872,29.652962923049927,29.511954069137573,28.925907611846924,28.099371671676636,25.930782794952393,25.01233220100403,24.11089038848877,24.09847617149353,31.439836740493774,27.754077911376953
13,14.737624645233154,16.651252269744873,17.163546562194824,20.484856605529785,15.649656534194946,32.9157338142395,15.259668350219727,25.61035418510437,25.395442247390747,25.297772884368896,24.94954776763916,25.075473070144653,24.468735933303833,24.682701587677002,24.148388147354126,31.23531198501587,23.185834646224976
14,16.920288801193237,17.504744291305542,18.157381296157837,19.84212636947632,16.21848154067993,30.67388153076172,18.793904781341553,26.64243721961975,26.612993478775024,26.67452621459961,26.614478826522827,26.643179893493652,26.36310648918152,26.14549231529236,25.701355695724487,33.395939350128174,27.903164625167847
15,14.954432249069214,16.610102653503418,17.06146478652954,18.773868560791016,15.803483486175537,26.16778063774109,15.44275188446045,20.51117205619812,20.532965183258057,20.479789972305298,20.5420081615448,20.579745292663574,20.524980545043945,20.56218957901001,20.557396173477173,26.910088539123535,23.376671314239502
16,16.998692989349365,18.910879850387573,19.347530603408813,23.047143936157227,17.917262315750122,39.218196392059326,17.70482301712036,29.50125026702881,29.86484932899475,29.565257787704468,30.781776666641235,29.580727100372314,29.605649709701538,29.445337533950806,29.933784246444702,37.22418260574341,26.17017960548401
17,14.820767402648926,16.781708002090454,17.27489161491394,19.5131778717041,15.915055751800537,28.851399660110474,15.634132385253906,23.170151710510254,23.841840028762817,23.713468074798584,23.870073795318604,23.81410837173462,23.664207696914673,23.581584930419922,23.503437995910645,29.918317079544067,23.607038497924805
18,14.856471300125122,16.325244903564453,16.7885160446167,18.426658630371094,15.592628002166748,27.61024785041809,15.164777994155884,19.969968557357788,19.937379837036133,20.022584199905396,19.93951964378357,19.97237730026245,19.993997812271118,19.946489810943604,19.963213443756104,25.93616771697998,23.017350435256958
19,17.01576542854309,18.710752725601196,19.244733333587646,23.72584867477417,17.833534479141235,42.475680112838745,17.526916027069092,30.73252558708191,31.045014142990112,30.792081832885742,31.940364837646484,30.418689012527466,30.876691102981567,30.62719750404358,31.5305597782135,37.91315269470215,25.78100061416626
20,14.796371936798096,16.781704664230347,17.390522956848145,19.609578371047974,16.455493927001953,30.528493404388428,15.660032749176025,24.741082429885864,24.886378526687622,24.72266721725464,24.633939504623413,24.475104093551636,24.57844352722168,24.178747177124023,23.48291850090027,30.086901664733887,23.277916431427002
21,16.945374250411987,18.746328592300415,19.236935138702393,23.522257328033447,17.893715858459473,40.147141456604004,17.687228679656982,30.39174175262451,30.75570821762085,30.128450870513916,31.377777099609375,30.0944344997406,30.48045587539673,29.85649871826172,31.047500133514404,37.58300232887268,26.065738916397095
22,17.10114574432373,18.800755977630615,19.324079275131226,23.781156539916992,17.956947565078735,42.31238412857056,17.60530972480774,30.799122095108032,31.06505584716797,30.85704469680786,32.04012489318848,30.548868417739868,30.982900857925415,30.776544094085693,31.767453908920288,37.85682487487793,25.849010229110718
23,14.743499755859375,16.650962829589844,17.12838315963745,20.450905799865723,15.715511322021484,31.535001039505005,15.282403707504272,25.27927851676941,25.052881002426147,24.95844316482544,24.63756799697876,24.758429765701294,24.218360900878906,24.438350915908813,23.929414987564087,31.400871753692627,23.560256481170654
24,16.987648010253906,18.922025680541992,19.414250135421753,23.697479248046875,17.972587823867798,40.3213312625885,17.68621516227722,30.465126514434814,30.69661021232605,30.104154109954834,31.473224878311157,30.067052364349365,30.552892923355103,29.89578104019165,31.178507328033447,37.6805465221405,26.0301411151886
25,15.156249523162842,16.57308053970337,16.9997775554657,19.595319509506226,15.744401216506958,27.30050230026245,15.26265549659729,22.29066252708435,22.40211319923401,22.335609674453735,22.279012441635132,22.21348762512207,22.22306752204895,22.156036376953125,22.10523533821106,27.927130937576294,23.046406030654907
26,14.82303500175476,16.761784553527832,17.387276649475098,19.615408897399902,16.695436477661133,30.400158882141113,15.908230781555176,24.704322814941406,24.8383572101593,24.763794660568237,24.58181619644165,24.47132682800293,24.628777027130127,24.16213321685791,23.495570182800293,30.117502689361572,23.233654499053955
27,14.801353454589844,16.725117206573486,17.190998315811157,20.51010751724243,15.771592378616333,32.921661376953125,15.282809019088745,25.71003246307373,25.51202130317688,25.457433462142944,25.103044509887695,25.28136134147644,24.715219259262085,24.982927799224854,24.417595624923706,31.506720542907715,23.22605538368225
