Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
17,7.662309646606445,7.773599147796631,8.039971590042114,8.090891361236572,8.124945640563965,8.151309728622437,8.236222267150879,8.440147399902344,8.452436923980713,8.480887413024902,8.478947401046753,8.507368564605713,2131.282556772232
18,8.687488079071045,8.450561046600342,8.643467664718628,8.609492778778076,8.65445852279663,8.943744897842407,8.647899866104126,8.59013032913208,8.595430135726929,8.517648935317993,8.444777965545654,8.330714702606201,2476.9088385105133
19,7.776183843612671,8.091015100479126,8.323744297027588,8.379575490951538,8.421544551849365,8.434141635894775,8.386598587036133,8.318780899047852,8.29478120803833,8.21554183959961,8.159692764282227,8.094978332519531,2478.6046085357666
20,8.428696155548096,7.87795352935791,8.12452507019043,8.40828824043274,8.34286904335022,8.272233963012695,8.199262619018555,8.181506395339966,8.187492609024048,8.205510377883911,8.167572975158691,8.618790626525879,2334.802360057831
21,8.677946090698242,8.10827898979187,8.348749160766602,8.41681456565857,8.435948848724365,8.457634449005127,8.351257801055908,8.144651889801025,8.186269283294678,7.996279716491699,7.894943475723267,7.7748494148254395,2470.7519063949585
22,8.254533290863037,8.381611108779907,8.642010927200317,8.728198051452637,8.762892961502075,8.78998875617981,8.786096572875977,8.785163640975952,8.787769317626953,8.782630443572998,8.664687871932983,8.429736375808716,2485.1315524578094
23,7.980642080307007,7.330004453659058,8.423818826675415,7.947221994400024,8.09330701828003,8.07996654510498,8.101860046386719,8.099453210830688,8.102362871170044,8.412954330444336,8.352399587631226,8.226416826248169,2280.9467356204987
24,7.553066968917847,7.865858554840088,8.100402593612671,8.172668695449829,8.247867345809937,8.270247220993042,8.257000207901001,8.237887620925903,8.242612600326538,8.2538902759552,8.238425254821777,8.242169857025146,2482.2733726501465
25,8.08577275276184,7.557048320770264,7.839586973190308,7.910711288452148,8.129231691360474,8.139901161193848,8.134010314941406,8.141259908676147,8.32056713104248,8.159141302108765,8.111228227615356,7.958498954772949,2444.2235355377197
26,7.864056348800659,7.120933771133423,7.390732288360596,7.82236647605896,8.205493688583374,8.005547285079956,8.110206842422485,8.187395572662354,8.19842529296875,8.238234519958496,8.244478225708008,8.2429838180542,2435.810451745987
27,8.332108736038208,7.729430675506592,7.991244554519653,8.015012264251709,8.072025775909424,8.13321328163147,8.204849481582642,8.170886993408203,8.115352392196655,8.132408618927002,8.109273910522461,8.3549063205719,2340.6060526371
28,8.662009954452515,8.164439916610718,8.593641519546509,8.646446466445923,8.682259321212769,8.681204795837402,8.69165325164795,8.675093412399292,8.55090856552124,8.454854488372803,8.370584964752197,8.329416275024414,2461.7210776805878
29,7.8592917919158936,7.968000173568726,8.198235273361206,8.278348207473755,8.297447204589844,8.298227787017822,8.310908794403076,8.259582757949829,8.265955448150635,8.33230447769165,8.149908065795898,8.095708847045898,2472.817401409149
30,7.612573623657227,7.852761268615723,8.22847318649292,8.294206857681274,8.35373592376709,8.417607307434082,8.37658166885376,8.376172542572021,8.368816137313843,8.356959581375122,8.3220853805542,8.297253608703613,2480.145898103714
31,8.116441249847412,8.271732568740845,8.542723178863525,8.63308596611023,8.655576229095459,8.639804124832153,8.64555835723877,8.676243782043457,8.671347618103027,8.659780502319336,8.600086212158203,8.358248233795166,2478.302924156189
32,8.313694953918457,7.6439008712768555,7.836338520050049,7.860032081604004,7.891068935394287,7.861334323883057,7.835394859313965,7.843195915222168,7.845627546310425,7.819899320602417,7.8086512088775635,7.802266836166382,2338.58651137352
33,7.7131476402282715,7.793889999389648,8.04707670211792,8.125425815582275,8.162637710571289,8.181208610534668,8.164417743682861,8.169859647750854,8.173949003219604,8.195743799209595,8.171707153320312,7.9487035274505615,2484.614588737488
34,7.423187971115112,7.512305498123169,7.793715476989746,8.013061046600342,8.118738412857056,8.107804536819458,8.124030590057373,8.20428204536438,8.221230030059814,8.260602951049805,8.144742727279663,8.079121589660645,1812.3530161380768
35,8.616895914077759,7.989742994308472,8.36838674545288,8.468927383422852,8.550366640090942,8.577378511428833,8.578599691390991,8.569897413253784,8.50429630279541,8.461238622665405,8.416894435882568,8.325468301773071,2468.2652049064636
36,8.596783638000488,8.003684520721436,8.38350248336792,8.558912754058838,8.573151350021362,8.591308116912842,8.566836595535278,8.586229801177979,8.526632308959961,8.366228342056274,8.289828300476074,8.236889123916626,2458.9711558818817
37,8.110393047332764,8.196075201034546,8.485608577728271,8.547011852264404,8.601922273635864,8.583555459976196,8.59229326248169,8.579416036605835,8.524905681610107,8.501446723937988,8.354212284088135,8.35205888748169,2491.302740097046
38,8.379154682159424,7.716742277145386,7.940086841583252,8.409303188323975,8.054395198822021,8.028538942337036,8.056087732315063,8.204124689102173,8.110429286956787,8.163655996322632,8.363214015960693,8.166484832763672,2327.36146235466
39,8.552673816680908,8.073193073272705,8.239696979522705,8.293243169784546,8.333882331848145,8.31183934211731,8.277211666107178,8.288987874984741,8.265584468841553,8.28514838218689,8.565826416015625,8.005919694900513,2366.392241716385
40,7.725984573364258,7.942875385284424,8.19154691696167,8.257353782653809,8.309615135192871,8.316773176193237,8.323299169540405,8.322098970413208,8.314226627349854,8.262002229690552,8.245624780654907,8.143515825271606,2480.471513748169
41,7.613951921463013,7.924449920654297,8.192148208618164,8.253142356872559,8.325712442398071,8.323845148086548,8.350428342819214,8.345492839813232,8.333150148391724,8.342242002487183,8.33483624458313,8.349361419677734,2481.2239837646484
42,7.538755893707275,7.615464925765991,7.9823668003082275,8.087342262268066,8.205568313598633,8.237147331237793,8.254715919494629,8.265820264816284,8.370022296905518,8.374875783920288,8.341243743896484,8.262844324111938,1808.8488421440125
43,8.698729038238525,8.198427200317383,8.476956129074097,8.53815484046936,8.53636384010315,8.51202940940857,8.454751014709473,8.365565538406372,8.27282166481018,8.19696569442749,7.674563884735107,7.499778985977173,2469.6296327114105
44,8.342673540115356,7.828091621398926,8.33762812614441,8.157346487045288,8.10291862487793,8.117364883422852,8.112900733947754,8.366382122039795,8.071452617645264,8.092171669006348,8.067326307296753,8.104026556015015,2360.6880164146423
45,8.301257610321045,7.816464424133301,7.637861490249634,8.161517858505249,7.746227264404297,7.8294899463653564,7.988056182861328,8.301094770431519,8.31593656539917,8.333561420440674,8.332956790924072,8.472898960113525,2256.957337617874
46,8.444001197814941,7.990918874740601,8.309300661087036,8.389440298080444,8.406993865966797,8.414433479309082,8.388173818588257,8.358569145202637,8.30148196220398,8.2531898021698,8.167086839675903,8.111919164657593,2486.9438688755035
47,8.405503988265991,7.909971237182617,8.17481279373169,8.25296950340271,8.328386306762695,8.44526720046997,8.56974482536316,8.561044931411743,8.570273637771606,8.58693528175354,8.600831270217896,8.54709768295288,2442.5483226776123
48,8.885271072387695,8.318421125411987,8.620043754577637,8.760282754898071,8.79968547821045,8.80125617980957,8.987039566040039,8.754855871200562,8.72063946723938,8.680051803588867,8.832042217254639,8.481686353683472,2484.308526992798
49,8.067948341369629,7.537460088729858,8.0870201587677,8.174291133880615,8.345451354980469,8.426905393600464,8.479521989822388,8.528038024902344,8.523983001708984,8.514096975326538,8.487289667129517,8.455971717834473,2441.3715710639954
50,8.136672973632812,8.268206357955933,8.498320817947388,8.581891298294067,8.63212513923645,8.601303100585938,8.526593685150146,8.499471664428711,8.402327299118042,8.358397483825684,8.300594806671143,8.251448154449463,2481.9890801906586
51,8.197551250457764,8.005057096481323,7.934736251831055,8.145533561706543,8.47752594947815,8.196681022644043,8.211654663085938,8.240008354187012,8.242223501205444,8.197312831878662,8.03051233291626,7.956688165664673,2449.841767311096
52,7.893579483032227,7.987797498703003,8.241878509521484,8.337929964065552,8.380173683166504,8.377518653869629,8.384273052215576,8.371231317520142,8.354538679122925,8.386194467544556,8.336494445800781,8.089883089065552,2486.3882677555084
53,8.678473711013794,8.047443866729736,8.23192572593689,8.428805112838745,8.45547366142273,8.307706356048584,8.260704040527344,8.762518167495728,8.248017072677612,8.254723310470581,8.217967987060547,8.181043148040771,2355.3133895397186
54,8.534895181655884,7.955504655838013,8.561643123626709,8.408271312713623,8.299396753311157,8.415997743606567,8.296445846557617,8.287158012390137,8.336372137069702,8.416406154632568,8.499811172485352,8.426074028015137,2325.23321390152
55,8.13729453086853,7.585327863693237,7.807209491729736,7.872610330581665,7.868732452392578,7.8891777992248535,7.903458595275879,7.908002138137817,7.917884826660156,7.969416618347168,7.997692346572876,8.07945966720581,2322.2920441627502
56,8.458570957183838,7.8138508796691895,8.066419839859009,8.57249927520752,8.155773639678955,8.18086552619934,8.220854997634888,8.310678958892822,8.29235053062439,8.256798267364502,8.222572803497314,8.213031530380249,2332.585443496704
57,7.6595940589904785,7.74584174156189,8.052410125732422,8.28436541557312,8.474242210388184,8.464361190795898,8.504963636398315,8.556790351867676,8.512006282806396,8.521788120269775,8.560788869857788,8.521413087844849,2467.1516864299774
58,7.748127222061157,7.859039545059204,8.103761196136475,8.1477792263031,8.169826745986938,8.199296474456787,8.187320947647095,8.202311277389526,8.179778575897217,8.09334135055542,8.097030639648438,7.9483642578125,2482.456826210022
59,7.967959880828857,8.179471254348755,8.430486679077148,8.514147758483887,8.577773571014404,8.586048126220703,8.57443356513977,8.592039823532104,8.605202913284302,8.577202558517456,8.567056894302368,8.31795597076416,2483.740481376648
60,8.70744276046753,8.305989742279053,8.57079267501831,8.652565002441406,8.673455238342285,8.658729076385498,8.599541664123535,8.542798519134521,8.471945524215698,8.393353462219238,8.30428433418274,7.785702705383301,2472.1055569648743
61,8.19424057006836,7.520371913909912,7.831812143325806,8.181906700134277,8.110196828842163,8.152481317520142,8.160727739334106,8.446870803833008,8.157779693603516,8.153766393661499,8.313099384307861,8.015472888946533,2461.0448400974274
62,8.222239971160889,8.356110334396362,8.624187469482422,8.712334632873535,8.722845554351807,8.709209442138672,8.680751085281372,8.693371534347534,8.658790349960327,8.585286855697632,8.526117086410522,8.341227769851685,2472.0263814926147
63,8.326849222183228,7.697911977767944,8.024919509887695,8.065557479858398,8.103177547454834,8.111835479736328,8.127921342849731,8.138421535491943,8.177063465118408,8.241022825241089,8.26468825340271,8.270413875579834,2282.638204097748
64,8.290990352630615,7.853922367095947,8.08165431022644,8.307755947113037,8.121456861495972,8.08360505104065,8.032917976379395,7.953813552856445,7.831607341766357,7.7247843742370605,7.625017404556274,7.619881629943848,2418.5732505321503
65,7.723347902297974,7.803011178970337,8.055643796920776,8.29531455039978,8.417710542678833,8.45685076713562,8.462190628051758,8.476041078567505,8.564486742019653,8.603291749954224,8.545711278915405,8.4338858127594,1819.6197731494904
66,7.816034555435181,8.11459231376648,8.443103313446045,8.51288390159607,8.578067302703857,8.612109184265137,8.621683597564697,8.625930070877075,8.629793882369995,8.618621826171875,8.624359369277954,8.606313943862915,2478.340336084366
67,8.29945158958435,7.6244518756866455,7.867341995239258,8.002417802810669,8.04525351524353,8.193264961242676,8.229377508163452,8.214211463928223,8.227816104888916,8.278462171554565,8.260022401809692,8.189567565917969,2452.285910129547
68,8.148969411849976,7.675694465637207,7.9586052894592285,7.962851047515869,8.001389503479004,8.009932041168213,8.433814525604248,8.036834478378296,8.03725290298462,8.063313484191895,8.127074480056763,8.145369529724121,2291.525594472885
69,7.293741941452026,7.480770826339722,7.935432195663452,8.007498502731323,8.022380590438843,8.054251194000244,8.067744970321655,8.085274696350098,8.051778793334961,8.031135082244873,8.011733055114746,8.013879776000977,2377.435795545578
70,8.498506307601929,8.018781900405884,8.25805950164795,8.403193712234497,8.442230463027954,8.609647512435913,8.354984760284424,8.386675119400024,8.706297636032104,8.366010904312134,8.366338968276978,8.359863996505737,2321.275323152542
71,7.652421474456787,7.970503568649292,8.230853080749512,8.29659652709961,8.368891954421997,8.388423204421997,8.366143703460693,8.340009689331055,8.360644102096558,8.33750033378601,8.309738397598267,8.27471923828125,2490.5460307598114
