Iteration,Sim_0,Sim_1,Sim_2
248,[464.0],[359.0],[205.0]
249,[307.0],[362.0],[265.0]
250,[280.0],[233.0],[497.0]
251,[43.0],[305.0],[112.0]
252,[265.0],[109.0],[457.0]
253,[497.0],[492.0],[386.0]
254,[112.0],[163.0],[41.0]
255,[441.0],[449.0],[208.0]
256,[457.0],[253.0],[359.0]
257,[344.0],[467.0],[362.0]
258,[48.0],[124.0],[12.0]
259,[206.0],[15.0],[435.0]
260,[336.0],[403.0],[459.0]
261,[85.0],[45.0],[314.0]
262,[435.0],[353.0],[180.0]
263,[63.0],[303.0],[253.0]
264,[141.0],[47.0],[287.0]
265,[305.0],[0.0],[486.0]
266,[449.0],[299.0],[318.0]
267,[467.0],[342.0],[232.0]
268,[69.0],[328.0],[45.0]
269,[358.0],[208.0],[121.0]
270,[194.0],[97.0],[353.0]
271,[18.0],[390.0],[53.0]
272,[303.0],[255.0],[465.0]
273,[80.0],[72.0],[143.0]
274,[143.0],[469.0],[405.0]
275,[0.0],[28.0],[191.0]
276,[328.0],[58.0],[440.0]
277,[278.0],[138.0],[144.0]
278,[135.0],[453.0],[331.0]
279,[218.0],[105.0],[212.0]
280,[72.0],[42.0],[255.0]
281,[42.0],[344.0],[116.0]
282,[30.0],[149.0],[28.0]
283,[317.0],[200.0],[58.0]
284,[58.0],[337.0],[131.0]
285,[155.0],[125.0],[228.0]
286,[242.0],[75.0],[453.0]
287,[249.0],[386.0],[42.0]
288,[187.0],[157.0],[344.0]
289,[368.0],[56.0],[96.0]
290,[337.0],[354.0],[320.0]
291,[378.0],[88.0],[137.0]
292,[409.0],[162.0],[200.0]
293,[207.0],[99.0],[125.0]
294,[354.0],[334.0],[120.0]
295,[88.0],[277.0],[409.0]
296,[34.0],[240.0],[207.0]
297,[5.0],[189.0],[380.0]
298,[334.0],[298.0],[356.0]
299,[277.0],[133.0],[88.0]
300,[133.0],[70.0],[367.0]
301,[472.0],[52.0],[455.0]
302,[477.0],[51.0],[64.0]
303,[64.0],[147.0],[395.0]
304,[8.0],[345.0],[468.0]
305,[68.0],[398.0],[157.0]
306,[333.0],[369.0],[70.0]
307,[279.0],[166.0],[52.0]
308,[147.0],[165.0],[279.0]
309,[222.0],[418.0],[222.0]
310,[216.0],[463.0],[379.0]
311,[165.0],[81.0],[369.0]
312,[192.0],[3.0],[166.0]
313,[81.0],[90.0],[394.0]
314,[50.0],[475.0],[402.0]
315,[381.0],[381.0],[294.0]
316,[4.0],[5.0],[3.0]
317,[306.0],[206.0],[50.0]
318,[22.0],[22.0],[206.0]
319,[313.0],[313.0],[138.0]
