Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
10,6.473660469055176,6.443811893463135,4.525863170623779,4.448909521102905,4.51402473449707,4.312263011932373,4.493499040603638,4.516619443893433,4.5016515254974365,4.517131567001343,4.502506256103516,4.508581638336182,4.393741130828857,4.313456296920776,4.192861795425415,4.496450424194336,4.521060943603516
11,6.417367935180664,6.2874085903167725,4.505029678344727,4.4348304271698,4.5021209716796875,4.298288822174072,4.486152410507202,4.504795074462891,4.476053237915039,4.492405891418457,4.484079122543335,4.57837438583374,4.3938281536102295,4.270520210266113,4.171630859375,4.483602285385132,4.515747547149658
12,6.491870403289795,7.1584696769714355,4.541833400726318,4.46691632270813,4.522934913635254,4.339620590209961,4.530093431472778,4.509935617446899,4.512921333312988,4.517427682876587,4.5266804695129395,4.626949787139893,4.41340446472168,4.311129331588745,4.202857255935669,4.513853549957275,4.51116156578064
13,6.64226770401001,6.78342342376709,4.577472925186157,4.508007049560547,4.597318410873413,4.39630389213562,4.595527172088623,4.586680889129639,4.585906744003296,4.584390878677368,4.602306842803955,4.759263515472412,4.47388482093811,4.365394353866577,4.2458202838897705,4.562699556350708,4.6086015701293945
14,6.46334433555603,7.282582759857178,4.534252643585205,4.463578939437866,4.5081446170806885,4.33001971244812,4.528811454772949,4.511481046676636,4.5110766887664795,4.509087562561035,4.524951934814453,4.623476982116699,4.397502660751343,4.294833660125732,4.192656993865967,4.504266977310181,4.507318735122681
15,7.985633850097656,8.157118082046509,5.395137310028076,5.449747562408447,5.443473815917969,5.030195236206055,5.563899517059326,5.485958099365234,5.5025954246521,5.420530080795288,5.540686130523682,5.690752983093262,5.156831979751587,5.087257146835327,4.235841989517212,5.441194534301758,5.508754014968872
16,6.4529173374176025,6.382459402084351,4.521927356719971,4.462161064147949,4.527148246765137,4.347212076187134,4.508000135421753,4.52176570892334,4.5210840702056885,4.520204305648804,4.516997814178467,4.663767576217651,4.392630338668823,4.303761720657349,4.182050466537476,4.5187249183654785,4.515981435775757
17,6.508885860443115,6.778217792510986,4.552897691726685,4.469326019287109,4.52613091468811,4.341283082962036,4.506384372711182,4.519255876541138,4.515542030334473,4.514125108718872,4.50484561920166,4.522433280944824,4.419543266296387,4.300677061080933,4.20659613609314,4.5568647384643555,4.523329019546509
18,6.391058921813965,6.298834562301636,4.499844551086426,4.427491664886475,4.465043306350708,4.305178880691528,4.468747615814209,4.472312688827515,4.488440990447998,4.462274074554443,4.486487150192261,4.568201780319214,4.367255687713623,4.270876169204712,4.209566354751587,4.471103668212891,4.467861652374268
19,6.455387115478516,7.619657278060913,4.543196678161621,4.424993515014648,4.517604827880859,4.286978244781494,4.503716707229614,4.51139760017395,4.508512258529663,4.502537965774536,4.502464056015015,4.633306503295898,4.369522333145142,4.253388404846191,4.196077346801758,4.510392427444458,4.502898216247559
20,7.4840779304504395,7.198678016662598,5.0819830894470215,5.120814323425293,5.038513660430908,5.063236951828003,5.110516309738159,5.113668203353882,5.173996448516846,5.10309624671936,5.115464687347412,5.290738105773926,4.975442409515381,4.821321249008179,4.939911127090454,5.080377101898193,5.080887079238892
21,7.624995231628418,7.642544507980347,5.313514709472656,5.354957580566406,5.174729824066162,5.091343879699707,5.403979778289795,5.225912094116211,5.267582893371582,5.247281789779663,5.336069107055664,5.305953502655029,5.268423795700073,4.942474126815796,4.894830226898193,5.40559458732605,5.286523342132568
