Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
14,3.773897171020508,3.71492600440979,3.8229622840881348,3.8550968170166016,3.8892860412597656,3.8811001777648926,3.870027542114258,3.864671230316162,3.884805917739868,3.8814055919647217,3.8773133754730225,3.885636806488037,28.110159158706665,5.687159538269043
15,3.585463523864746,3.692020893096924,3.797360420227051,3.8438591957092285,3.847273111343384,3.851900577545166,3.9006001949310303,3.9611165523529053,3.908707618713379,3.978649616241455,3.9670655727386475,3.977803945541382,29.991039752960205,5.592688322067261
16,3.7788820266723633,3.875084400177002,3.9668991565704346,3.9998905658721924,4.002212285995483,3.9896228313446045,3.9583828449249268,3.9660604000091553,3.9756088256835938,3.9547104835510254,3.93007230758667,3.927694320678711,31.883829832077026,5.930534601211548
17,3.8117222785949707,3.967738389968872,4.086814641952515,4.133537530899048,4.1372764110565186,4.137768030166626,4.14433479309082,4.130570650100708,4.124481916427612,4.122150897979736,4.118200302124023,4.131639242172241,7.852544069290161,5.8933093547821045
18,3.7572174072265625,3.7087020874023438,3.8130621910095215,3.854688882827759,3.906928062438965,3.888951539993286,3.875606060028076,3.8812222480773926,3.886744976043701,3.881765127182007,3.873103141784668,3.8985555171966553,28.083819150924683,5.6703338623046875
19,3.9857189655303955,3.8055214881896973,3.8977155685424805,3.9283273220062256,3.918764114379883,3.9716105461120605,4.081496715545654,4.403850555419922,4.0369110107421875,3.9907121658325195,4.128014802932739,4.216005802154541,7.009119987487793,6.042094707489014
20,126.59602355957031,127.46262550354004,126.89654517173767,127.27245688438416,127.14065194129944,3.83459210395813,127.19987225532532,127.25693655014038,126.22745180130005,3.8124728202819824,126.54011869430542,3.8174335956573486,127.70159649848938,235.26489305496216
21,3.561809778213501,3.670201063156128,3.77388334274292,3.8272335529327393,3.84015154838562,3.7990901470184326,3.8349664211273193,3.821666717529297,3.8264448642730713,3.7951407432556152,3.8178558349609375,3.79795241355896,8.419710636138916,5.496983051300049
22,3.5358259677886963,3.6438117027282715,3.7569780349731445,3.8049795627593994,3.810567617416382,4.174036264419556,3.8072049617767334,3.7971692085266113,3.8116343021392822,4.147350788116455,3.8067591190338135,4.228160858154297,8.949896812438965,5.473222732543945
23,139.26056337356567,140.77061796188354,138.34749174118042,141.40582013130188,136.4756953716278,3.776721954345703,132.25201559066772,138.64079213142395,138.012188911438,3.825995683670044,139.50794291496277,4.010432958602905,139.61400413513184,249.6839039325714
24,4.016636848449707,4.082090377807617,4.138165712356567,4.1882524490356445,4.18154501914978,3.946810245513916,4.247252464294434,4.21910285949707,4.140710830688477,3.7904088497161865,4.190861225128174,3.7830097675323486,6.830881118774414,6.069244861602783
25,3.833420515060425,3.6279189586639404,3.7368226051330566,3.7835800647735596,3.7854597568511963,3.815373420715332,3.777634620666504,3.8244175910949707,3.8222408294677734,3.812943458557129,3.9424221515655518,3.8104031085968018,28.66956853866577,5.905705690383911
