Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
25,2.5405173301696777,2.5953168869018555,2.7257163524627686,2.714700698852539,2.7352986335754395,2.721397638320923,2.7216317653656006,2.726266622543335,2.7305214405059814,2.731265068054199,2.7317726612091064,2.7309799194335938,258.44174695014954,4.199304819107056
26,2.5897669792175293,2.6594462394714355,2.7499279975891113,2.761094808578491,2.7349612712860107,2.737947463989258,2.7405714988708496,2.744049310684204,2.7399356365203857,2.7468764781951904,2.7360658645629883,2.732316732406616,286.87209844589233,4.197105884552002
27,2.5724716186523438,2.6602444648742676,2.785303831100464,2.7995762825012207,2.819307804107666,2.8128714561462402,2.80393385887146,2.800323963165283,2.8136725425720215,2.8110060691833496,2.7916109561920166,2.762692928314209,298.1737394332886,4.101426839828491
28,2.5090348720550537,2.5398216247558594,2.6693918704986572,2.7165756225585938,2.73606014251709,2.7382147312164307,2.7396774291992188,2.7308952808380127,2.728501319885254,2.7396693229675293,2.743332624435425,2.825021743774414,294.4891924858093,3.8978912830352783
29,2.622716188430786,2.657866954803467,2.7352120876312256,2.7404086589813232,2.753114938735962,2.7419681549072266,2.7235260009765625,2.73637056350708,2.7334747314453125,2.7295637130737305,2.7056124210357666,2.689582109451294,493.0884826183319,3.9580512046813965
30,2.5698797702789307,2.607970714569092,2.6986589431762695,2.7013370990753174,2.711374044418335,2.8998401165008545,2.9118916988372803,2.7136685848236084,2.6947078704833984,2.678701400756836,2.6482012271881104,2.611213207244873,297.04295206069946,3.9310526847839355
31,2.499645709991455,2.537184715270996,2.6039862632751465,2.609149694442749,2.620732069015503,2.6573097705841064,2.7082529067993164,2.7415318489074707,2.743399143218994,2.750577211380005,2.7529964447021484,2.755491018295288,468.4129464626312,3.8848471641540527
32,2.5352799892425537,2.606426477432251,2.682426691055298,2.6948297023773193,2.7021591663360596,2.7047054767608643,2.706899404525757,2.7093803882598877,2.7084763050079346,2.709420919418335,2.7088510990142822,2.700298309326172,284.4478917121887,4.134073734283447
33,2.4890024662017822,2.5237584114074707,2.596311569213867,3.2699365615844727,2.6800100803375244,2.7246034145355225,2.72641921043396,2.733757257461548,2.8307697772979736,2.7406015396118164,2.7269301414489746,2.7046430110931396,482.22931027412415,3.8673593997955322
34,2.588651180267334,2.6521260738372803,2.727700710296631,2.7346508502960205,2.743961811065674,2.8663949966430664,2.7291882038116455,2.7401726245880127,2.73472261428833,2.7139337062835693,2.698962450027466,2.684919834136963,488.56430888175964,3.9524340629577637
35,2.467721939086914,2.501096725463867,2.570960760116577,2.5776617527008057,2.622148036956787,2.670400381088257,2.701746940612793,2.704846143722534,2.7116880416870117,2.717094898223877,2.716914415359497,2.7004246711730957,475.74764013290405,3.830390214920044
36,2.6764063835144043,2.6104490756988525,2.6798341274261475,2.6781163215637207,2.6745035648345947,2.667466402053833,2.665761947631836,2.6572325229644775,2.6896142959594727,2.669016122817993,2.6484134197235107,2.6204400062561035,494.3205976486206,3.9099717140197754
37,2.5514988899230957,2.5859427452087402,2.6618709564208984,2.6649997234344482,2.676021099090576,2.6792869567871094,2.683927297592163,2.716240644454956,2.742492437362671,2.7628560066223145,2.753251791000366,2.7520296573638916,421.9060411453247,3.978159189224243
38,2.4833831787109375,2.511050224304199,2.846714735031128,2.6176416873931885,2.674630880355835,2.7152655124664307,2.718433380126953,2.7248024940490723,2.731311321258545,2.7318191528320312,2.7172603607177734,2.698159694671631,480.04916763305664,3.8543970584869385
39,2.4964849948883057,2.522528886795044,2.5971784591674805,2.6017861366271973,2.6095333099365234,2.6138386726379395,3.116182327270508,2.6562888622283936,2.6768643856048584,2.6891727447509766,2.6813583374023438,2.6809275150299072,420.08445262908936,3.8595643043518066
40,2.5224385261535645,2.586601734161377,2.634871006011963,2.679354667663574,2.706519603729248,2.699432611465454,2.7000651359558105,2.7026853561401367,2.706860065460205,2.7371737957000732,2.7063071727752686,2.6979453563690186,464.8785364627838,3.886880874633789
41,2.6210289001464844,2.7070772647857666,2.7935750484466553,2.7806055545806885,2.761329412460327,2.7189574241638184,2.6921918392181396,2.6836445331573486,2.6637017726898193,2.858804941177368,2.6335549354553223,2.6130151748657227,491.7582514286041,3.872074604034424
42,2.5666584968566895,2.6398887634277344,2.801734447479248,2.830430746078491,2.8275234699249268,2.7560858726501465,2.737748384475708,2.73018217086792,2.700101137161255,2.7064809799194336,2.687455415725708,2.6806366443634033,493.6432478427887,3.9353222846984863
43,2.6221532821655273,2.6628658771514893,2.749851703643799,2.756455183029175,2.7589433193206787,2.751695156097412,2.9866979122161865,2.763632297515869,2.741824150085449,2.726954936981201,2.6886565685272217,4.306966304779053,295.80414056777954,4.011949777603149
44,2.605961561203003,2.6477084159851074,2.7382473945617676,2.745853900909424,2.747551918029785,2.7305753231048584,3.0779001712799072,2.732672929763794,2.715578317642212,2.69903302192688,2.6655726432800293,2.630786418914795,296.74445843696594,3.965531826019287
45,2.6062183380126953,2.6408891677856445,2.725858211517334,2.7270655632019043,2.7357420921325684,2.7393126487731934,2.7402994632720947,2.739589214324951,2.7411439418792725,2.7405076026916504,2.7316091060638428,2.902904748916626,293.14701628685,4.2437169551849365
