Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
20,2.883159637451172,3.3586995601654053,3.5703020095825195,3.827556610107422,4.102049350738525,4.100694417953491,4.101251602172852,4.312833309173584,4.104086875915527,4.029736280441284,5.552463054656982,3.9747960567474365,340.9612672328949
21,3.357323169708252,3.82844877243042,4.44568657875061,4.641625881195068,4.938877820968628,4.987863063812256,4.982369661331177,5.024899005889893,4.928383827209473,4.934868574142456,4.910314559936523,4.757406711578369,1876.4613406658173
22,3.4348418712615967,3.8959274291992188,4.454684019088745,4.606936693191528,4.887603998184204,4.955164909362793,4.958692312240601,4.988356113433838,4.902013540267944,4.887831449508667,4.839041233062744,4.772806167602539,1758.5119757652283
23,3.5320751667022705,3.8879120349884033,4.442086219787598,4.585597276687622,4.860344886779785,4.765536069869995,4.727858543395996,4.655619382858276,4.581851482391357,4.553116083145142,4.4874067306518555,4.415025472640991,1875.2776038646698
24,2.9209556579589844,3.3634278774261475,3.5914769172668457,3.79496169090271,3.95949387550354,3.9861931800842285,3.967564105987549,3.9592068195343018,3.967257261276245,3.9842545986175537,3.9751064777374268,3.795311450958252,327.005478143692
25,3.2049190998077393,3.566917657852173,4.048961162567139,4.106884002685547,4.280469655990601,4.294982433319092,4.298496246337891,4.30751895904541,4.310594797134399,4.369903564453125,4.4835875034332275,4.61863112449646,1718.583927154541
26,2.884827136993408,3.3781466484069824,3.5933547019958496,3.8539211750030518,4.128563165664673,4.122229099273682,4.124159574508667,4.117868423461914,4.127985239028931,4.101144075393677,5.925073623657227,4.003049373626709,340.5979039669037
27,2.8444464206695557,3.3318169116973877,3.5424578189849854,3.8518505096435547,4.0625224113464355,4.068256855010986,4.063120603561401,4.063223838806152,4.06381630897522,4.071178197860718,6.330715179443359,3.952720880508423,339.8746917247772
28,3.3891355991363525,3.7724661827087402,4.489487409591675,4.377309799194336,4.7055418491363525,4.832678556442261,4.7665159702301025,4.8426525592803955,4.881538152694702,4.871989011764526,4.839429616928101,4.8403990268707275,1869.639848947525
29,2.7935752868652344,3.2813079357147217,3.505452871322632,3.6929118633270264,3.858257293701172,4.020028114318848,3.9164164066314697,3.88912034034729,3.8957035541534424,3.9050166606903076,3.9173038005828857,3.9017646312713623,327.75427198410034
30,2.826430082321167,3.3034896850585938,3.5163159370422363,3.6599884033203125,4.934713840484619,4.031858682632446,4.030883073806763,4.031161069869995,4.038808584213257,4.027628183364868,3.9782962799072266,3.9001150131225586,434.8567750453949
31,2.7396605014801025,3.2150063514709473,3.380917549133301,3.5403993129730225,3.7357840538024902,3.655897855758667,3.785525321960449,3.924168109893799,3.7792983055114746,3.771480083465576,3.7614312171936035,3.7672317028045654,421.6629898548126
32,3.489348888397217,4.00027871131897,4.596036911010742,4.765803337097168,5.013334274291992,5.032989740371704,5.0168821811676025,4.975503921508789,4.9671502113342285,4.959583044052124,4.820474863052368,4.751372814178467,1877.6269915103912
33,2.8415582180023193,3.354637861251831,3.572735548019409,3.8231375217437744,4.103801012039185,4.1075921058654785,4.107430934906006,4.107085466384888,4.111644983291626,4.111452341079712,6.459728240966797,3.984433174133301,340.37885904312134
34,2.795384407043457,3.2978687286376953,3.5156381130218506,3.690380334854126,5.638119697570801,4.031097412109375,4.025890111923218,4.032501935958862,4.035812139511108,4.030481576919556,3.9821245670318604,3.9102206230163574,434.4879570007324
