Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
12,2.6145870685577393,2.6049602031707764,2.7125043869018555,3.0833587646484375,2.746613025665283,2.7421770095825195,2.746281385421753,2.741987943649292,2.7373878955841064,2.726025104522705,2.7251954078674316,2.6826720237731934,992.9587779045105
13,2.583507776260376,2.571772575378418,2.6784918308258057,2.6736419200897217,2.682210922241211,2.6829609870910645,2.6959993839263916,2.7113070487976074,2.6872167587280273,2.6711714267730713,2.653319835662842,2.640213966369629,1047.7998559474945
14,2.5500106811523438,2.4914515018463135,2.5693776607513428,2.5831964015960693,2.6562464237213135,2.694340229034424,2.692996025085449,2.693300485610962,2.7013566493988037,2.698927879333496,2.698765754699707,2.697791576385498,1042.9025814533234
15,2.619873285293579,2.558274745941162,2.6665854454040527,2.6629183292388916,3.2982890605926514,2.66648530960083,2.6540119647979736,2.6423490047454834,2.6413190364837646,2.621875047683716,2.6140716075897217,2.5931379795074463,992.3493194580078
16,2.693321943283081,2.6247751712799072,2.7065417766571045,2.7134923934936523,2.7280120849609375,2.721179723739624,2.726754665374756,2.7093300819396973,2.699411392211914,2.688159704208374,2.674032688140869,2.6073970794677734,1042.0954728126526
17,2.644568920135498,2.5913822650909424,2.9163401126861572,2.688308000564575,2.731297731399536,2.735076904296875,2.705874443054199,2.7002806663513184,2.6873717308044434,2.6687402725219727,2.6381728649139404,2.6191186904907227,1046.205546617508
18,2.6684582233428955,2.6473770141601562,2.6974878311157227,2.734800338745117,2.7619102001190186,2.741800308227539,2.749197006225586,2.7454819679260254,2.7276337146759033,2.726792335510254,2.7061827182769775,2.6674134731292725,991.5455152988434
19,2.64797306060791,2.5826687812805176,2.6800241470336914,2.7173829078674316,2.7530810832977295,2.7369866371154785,2.693282127380371,2.6863136291503906,2.683706045150757,2.6521832942962646,2.641209363937378,2.608466863632202,1043.0267362594604
20,2.6540043354034424,2.5971601009368896,2.675198554992676,2.6883296966552734,2.6910765171051025,2.68891978263855,2.6912994384765625,2.6906282901763916,2.6743876934051514,2.661562919616699,2.658878803253174,2.603208303451538,1043.0490217208862
21,2.585754632949829,2.529067039489746,2.6220200061798096,2.6530933380126953,2.6743974685668945,2.879033088684082,2.7036478519439697,2.736891984939575,2.747166633605957,2.7841808795928955,2.7614614963531494,2.7361714839935303,1029.5357809066772
22,2.7108306884765625,2.630981206893921,2.699967384338379,2.70736026763916,2.7165122032165527,2.716578245162964,2.7389330863952637,2.696589708328247,2.6922390460968018,2.6817946434020996,2.6342685222625732,2.598363161087036,1042.8517632484436
23,2.598253011703491,2.587435483932495,2.6917521953582764,2.6963424682617188,2.909227132797241,2.7043066024780273,2.706068515777588,2.7026329040527344,2.7061336040496826,2.674720525741577,2.638820171356201,2.601120710372925,992.7615058422089
24,2.604942560195923,2.555257558822632,2.70219087600708,2.731837511062622,3.192990303039551,2.759596586227417,2.7596828937530518,2.7622058391571045,2.7602951526641846,2.7522287368774414,2.74237060546875,2.738251209259033,995.5858738422394
25,2.5595576763153076,2.509711265563965,2.583163261413574,2.6061840057373047,2.6470251083374023,2.6602847576141357,2.6916019916534424,2.6670420169830322,2.9005215167999268,2.672891616821289,2.661917209625244,2.6444051265716553,973.8378612995148
