Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49
1089,[1208.0],[1498.0],[999.0],[1172.0],[260.0],[634.0],[221.0],[1227.0],[889.0],[89.0],[245.0],[871.0],[78.0],[674.0],[1498.0],[483.0],[346.0],[1362.0],[1159.0],[1207.0],[1454.0],[1276.0],[206.0],[580.0],[976.0],[360.0],[286.0],[161.0],[935.0],[935.0],[580.0],[762.0],[640.0],[512.0],[1346.0],[515.0],[746.0],[399.0],[738.0],[494.0],[1086.0],[1418.0],[1369.0],[664.0],[959.0],[971.0],[828.0],[947.0],[840.0],[1291.0]
1090,[1245.0],[1047.0],[577.0],[106.0],[1403.0],[1260.0],[1454.0],[1339.0],[1177.0],[556.0],[1131.0],[1341.0],[808.0],[371.0],[715.0],[382.0],[237.0],[562.0],[1170.0],[857.0],[105.0],[963.0],[1219.0],[635.0],[362.0],[496.0],[666.0],[1207.0],[827.0],[1432.0],[913.0],[192.0],[1341.0],[415.0],[1237.0],[262.0],[637.0],[988.0],[1276.0],[999.0],[415.0],[912.0],[309.0],[86.0],[521.0],[1298.0],[1172.0],[1386.0],[310.0],[1276.0]
1091,[831.0],[988.0],[24.0],[10.0],[54.0],[1461.0],[553.0],[889.0],[901.0],[483.0],[218.0],[215.0],[580.0],[1099.0],[874.0],[617.0],[545.0],[612.0],[1291.0],[1397.0],[605.0],[587.0],[988.0],[1172.0],[1412.0],[711.0],[796.0],[1260.0],[225.0],[10.0],[377.0],[1430.0],[838.0],[1085.0],[703.0],[1009.0],[1339.0],[220.0],[1418.0],[1159.0],[796.0],[863.0],[878.0],[1184.0],[414.0],[121.0],[414.0],[863.0],[400.0],[453.0]
1092,[1369.0],[788.0],[1418.0],[928.0],[345.0],[483.0],[1453.0],[940.0],[415.0],[1073.0],[1279.0],[1386.0],[734.0],[1207.0],[909.0],[752.0],[101.0],[81.0],[557.0],[1049.0],[1435.0],[312.0],[703.0],[1245.0],[10.0],[295.0],[857.0],[237.0],[992.0],[992.0],[712.0],[1397.0],[738.0],[745.0],[826.0],[98.0],[1118.0],[413.0],[882.0],[889.0],[1204.0],[829.0],[1490.0],[1019.0],[1471.0],[178.0],[946.0],[626.0],[898.0],[1237.0]
1093,[1043.0],[237.0],[807.0],[734.0],[925.0],[229.0],[1316.0],[290.0],[1408.0],[805.0],[10.0],[740.0],[903.0],[1263.0],[684.0],[480.0],[734.0],[807.0],[1398.0],[356.0],[1008.0],[406.0],[664.0],[793.0],[1285.0],[1418.0],[515.0],[189.0],[406.0],[1204.0],[255.0],[1184.0],[580.0],[1489.0],[883.0],[260.0],[889.0],[78.0],[912.0],[1118.0],[1047.0],[104.0],[871.0],[764.0],[607.0],[101.0],[839.0],[474.0],[1352.0],[752.0]
1094,[752.0],[962.0],[794.0],[414.0],[1045.0],[1245.0],[1267.0],[225.0],[1376.0],[1059.0],[1237.0],[635.0],[1389.0],[365.0],[312.0],[1233.0],[703.0],[979.0],[640.0],[1124.0],[286.0],[1161.0],[1320.0],[310.0],[319.0],[24.0],[1183.0],[926.0],[286.0],[640.0],[925.0],[482.0],[666.0],[101.0],[556.0],[484.0],[290.0],[913.0],[829.0],[510.0],[1183.0],[496.0],[901.0],[400.0],[1207.0],[897.0],[697.0],[192.0],[76.0],[1124.0]
1095,[527.0],[909.0],[829.0],[162.0],[788.0],[99.0],[525.0],[1208.0],[662.0],[626.0],[1103.0],[1335.0],[585.0],[999.0],[872.0],[612.0],[1298.0],[1218.0],[415.0],[426.0],[883.0],[155.0],[556.0],[1389.0],[711.0],[177.0],[89.0],[377.0],[61.0],[61.0],[857.0],[10.0],[553.0],[796.0],[878.0],[874.0],[457.0],[686.0],[1015.0],[1497.0],[426.0],[1314.0],[158.0],[555.0],[713.0],[1415.0],[997.0],[146.0],[470.0],[911.0]
1096,[1059.0],[999.0],[1076.0],[674.0],[1049.0],[926.0],[1435.0],[382.0],[634.0],[828.0],[284.0],[415.0],[538.0],[1430.0],[925.0],[979.0],[377.0],[39.0],[573.0],[515.0],[911.0],[60.0],[415.0],[327.0],[1125.0],[377.0],[988.0],[1276.0],[76.0],[1376.0],[693.0],[1356.0],[367.0],[10.0],[1297.0],[726.0],[955.0],[734.0],[155.0],[1207.0],[626.0],[150.0],[1412.0],[1288.0],[1498.0],[346.0],[161.0],[828.0],[1378.0],[382.0]
1097,[483.0],[179.0],[371.0],[1245.0],[206.0],[490.0],[1274.0],[962.0],[251.0],[229.0],[853.0],[1369.0],[888.0],[666.0],[999.0],[1358.0],[556.0],[752.0],[400.0],[40.0],[580.0],[588.0],[1374.0],[414.0],[1417.0],[490.0],[947.0],[828.0],[695.0],[24.0],[1202.0],[1389.0],[382.0],[712.0],[663.0],[54.0],[224.0],[329.0],[1314.0],[1086.0],[947.0],[1352.0],[1279.0],[883.0],[1245.0],[671.0],[838.0],[245.0],[1471.0],[1218.0]
1098,[1219.0],[605.0],[1211.0],[839.0],[949.0],[829.0],[457.0],[527.0],[1489.0],[969.0],[251.0],[384.0],[963.0],[539.0],[861.0],[229.0],[1174.0],[1193.0],[1489.0],[640.0],[1159.0],[693.0],[1184.0],[81.0],[377.0],[189.0],[545.0],[155.0],[805.0],[309.0],[89.0],[1418.0],[39.0],[1183.0],[827.0],[312.0],[525.0],[1124.0],[182.0],[712.0],[865.0],[831.0],[887.0],[89.0],[738.0],[901.0],[1065.0],[1356.0],[1264.0],[155.0]
