Simulation,iGS,WiGS (Static w_x=0.25),Passive Learning,"WiGS (MAB-UCB1, c=5.0)",EMCM,WiGS (Static w_x=0.75),WiGS (SAC),Uncertainty Sampling,WiGS (Static w_x=0.5),"WiGS (Time-Decay, Exponential)",EGAL,QBC,GSy,GSx,"WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Linear)"
10,1.2045907974243164,1.2026934623718262,1.1627490520477295,1.2293310165405273,1.1569607257843018,1.2083070278167725,2.2530934810638428,1.1922693252563477,1.2081103324890137,1.2049293518066406,1.2052066326141357,1.790731430053711,1.2017803192138672,1.1701276302337646,1.224231481552124,1.213355541229248,1.2056541442871094
11,1.2210183143615723,1.223067283630371,1.1845622062683105,1.2720811367034912,1.1773865222930908,1.225386381149292,2.431428909301758,1.2032074928283691,1.2220454216003418,1.241847038269043,1.2085838317871094,1.8206884860992432,1.2202019691467285,1.1789917945861816,1.2648608684539795,1.2538623809814453,1.21376371383667
12,1.2155671119689941,1.213165044784546,1.1709227561950684,1.2270917892456055,1.1751630306243896,1.2232890129089355,2.294037103652954,1.2065191268920898,1.2195799350738525,1.2196733951568604,1.2074098587036133,1.8296966552734375,1.2219843864440918,1.1973352432250977,1.2208104133605957,1.2364275455474854,1.2199509143829346
13,1.2067103385925293,1.2064530849456787,1.1334428787231445,1.206336259841919,1.166628360748291,1.2086260318756104,2.8864924907684326,1.199082374572754,1.2044954299926758,1.2066006660461426,1.2000117301940918,1.778414249420166,1.2010385990142822,1.1666529178619385,1.2067797183990479,1.2097771167755127,1.205845594406128
14,1.2523279190063477,1.2709436416625977,1.1756317615509033,1.2674953937530518,1.2341628074645996,1.21659517288208,2.3184351921081543,1.2418849468231201,1.2219111919403076,1.243605375289917,1.2416775226593018,1.8652639389038086,1.2487895488739014,1.2179975509643555,1.2615506649017334,1.2541625499725342,1.2314319610595703
15,1.213965654373169,1.2061538696289062,1.1705207824707031,1.2163500785827637,1.1706149578094482,1.2148182392120361,2.1245484352111816,1.2643322944641113,1.2125236988067627,1.2152020931243896,1.2038698196411133,1.7944912910461426,1.209688425064087,1.1767652034759521,1.2145462036132812,1.215935468673706,1.212791919708252
16,1.1982355117797852,1.1977360248565674,1.1597950458526611,1.2015140056610107,1.1519207954406738,1.1964335441589355,2.116547107696533,1.311720371246338,1.1975972652435303,1.1987895965576172,1.1865026950836182,1.766265869140625,1.1925067901611328,1.159557580947876,1.2031090259552002,1.1977899074554443,1.1957876682281494
17,1.1989948749542236,1.19240403175354,1.1870121955871582,1.207054853439331,1.1566071510314941,1.197309970855713,7.759557723999023,1.204514980316162,1.191253900527954,1.1942412853240967,1.1952199935913086,1.8119065761566162,1.1991844177246094,1.155775547027588,1.1951634883880615,1.198331594467163,1.1964623928070068
18,1.2151474952697754,1.2045783996582031,1.1405932903289795,1.2083628177642822,1.1629977226257324,1.225909948348999,2.8037006855010986,1.205864667892456,1.2083523273468018,1.2034070491790771,1.2000057697296143,1.786388635635376,1.203993797302246,1.1635332107543945,1.2101953029632568,1.215867519378662,1.205223560333252
19,1.2205474376678467,1.252941608428955,1.1697332859039307,1.2244083881378174,1.211240530014038,1.2780990600585938,2.194223403930664,1.2338290214538574,1.262336015701294,1.2508783340454102,1.2536296844482422,1.8491668701171875,1.2225263118743896,1.1953377723693848,1.2448768615722656,1.2375271320343018,1.2535645961761475
20,1.2288477420806885,1.2449254989624023,1.1436426639556885,1.2108514308929443,1.1892402172088623,1.2536969184875488,2.1887214183807373,1.2322735786437988,1.2561583518981934,1.2598974704742432,1.2288751602172852,1.788421392440796,1.2178499698638916,1.1732709407806396,1.2395901679992676,1.211545467376709,1.2440540790557861
