Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,Information Density,EMCM
10,16.259392261505127,17.07436227798462,17.52786946296692,18.165005922317505,18.68687868118286,18.684741973876953,18.591641187667847,18.669593572616577,18.696200609207153,382.7476522922516,26.670429468154907,17.71033239364624,18.71270179748535,17.5798499584198
11,14.655866622924805,15.230271816253662,15.616859912872314,16.05767321586609,16.42403745651245,16.36359429359436,16.48048186302185,16.49260973930359,16.042759656906128,489.6037526130676,22.912274599075317,16.85181450843811,16.170501232147217,14.842479944229126
12,17.230261087417603,17.45902967453003,18.51677966117859,19.051812171936035,19.68261170387268,19.90499258041382,22.17477011680603,19.897696256637573,19.859453678131104,435.0068156719208,26.593141078948975,18.193392276763916,19.037487745285034,17.782244205474854
13,16.455914974212646,17.456586122512817,17.944024801254272,19.34453535079956,19.506502866744995,18.994534969329834,18.928024530410767,18.933170080184937,18.941655158996582,401.49163365364075,26.00276207923889,17.18439245223999,18.837178945541382,17.162506580352783
14,16.89529824256897,17.794947147369385,18.302837133407593,18.97152090072632,19.424768447875977,19.365535020828247,19.284934997558594,19.293558359146118,19.143485069274902,401.26359963417053,26.414047718048096,17.568772792816162,19.083215951919556,17.378177642822266
15,14.739587545394897,15.336169719696045,15.71651554107666,16.16136646270752,16.541537761688232,19.47602367401123,16.575383186340332,16.55017113685608,15.927684545516968,484.5947914123535,23.034587144851685,15.264496326446533,16.299325704574585,14.994194030761719
16,16.448269605636597,17.380832195281982,17.71136474609375,19.043930292129517,18.816171646118164,18.905953407287598,18.93056321144104,19.147108793258667,18.72097086906433,438.83458828926086,25.987324714660645,17.135995149612427,18.232083797454834,16.428879261016846
17,16.676514387130737,17.628485441207886,18.029204607009888,18.665332794189453,19.130876541137695,19.120288372039795,19.09552526473999,19.00245237350464,18.941994667053223,436.47364807128906,25.84872603416443,17.115044832229614,18.7007155418396,16.957083225250244
18,14.789569616317749,15.47746229171753,15.727478504180908,16.176596879959106,16.550076007843018,19.542620420455933,16.57313895225525,16.550930500030518,15.935558557510376,485.56415009498596,23.079282522201538,16.660083293914795,16.417538166046143,14.92055368423462
19,14.772897958755493,15.341417789459229,15.754916667938232,16.20755934715271,16.560310125350952,19.36667561531067,16.591078758239746,16.562655210494995,15.94794774055481,485.73362493515015,22.943200826644897,16.589293479919434,16.406325340270996,14.941503763198853
20,17.2033634185791,18.077491521835327,18.58503532409668,19.260603189468384,19.755640029907227,19.65640425682068,19.602734327316284,19.59690523147583,19.245811223983765,400.4512588977814,26.845543146133423,17.96085810661316,19.312257289886475,17.571645975112915
21,16.55507183074951,17.499492406845093,18.070852756500244,19.260014057159424,19.227428913116455,19.323938846588135,19.346232891082764,19.341034412384033,19.19626021385193,429.45220398902893,26.311769008636475,17.566256999969482,18.663671016693115,17.03370761871338
22,16.748827695846558,17.750929832458496,18.25236940383911,18.948298692703247,19.43668532371521,19.411439657211304,19.102471828460693,18.951611518859863,18.95500659942627,374.9164161682129,26.05717658996582,17.13455319404602,18.648317337036133,17.05651330947876
23,15.749146699905396,16.834605932235718,17.55337166786194,18.071889638900757,18.79465913772583,18.86833930015564,18.834707260131836,18.82342553138733,18.829015970230103,432.27530884742737,24.51006245613098,17.021317720413208,17.871620416641235,16.601009845733643
24,16.53759789466858,17.540255784988403,17.83428645133972,18.456416606903076,18.926974296569824,18.909493684768677,18.903889417648315,18.800483465194702,18.76310968399048,436.99376821517944,25.22184944152832,16.69757390022278,18.34845781326294,16.678290128707886
25,16.753661155700684,17.608561277389526,18.095524072647095,18.742927074432373,19.192427158355713,19.1633141040802,19.08420753479004,19.11482548713684,19.015140533447266,402.5921573638916,26.12037467956543,17.378981828689575,18.89982271194458,17.195106029510498
26,16.4443359375,17.481396913528442,17.995373725891113,19.071199655532837,19.100454568862915,19.18211054801941,19.236834049224854,19.243422508239746,19.212751150131226,426.48437333106995,26.297911882400513,17.38153839111328,18.605315685272217,17.111246347427368
27,17.338241815567017,18.164333820343018,18.66788935661316,19.3727605342865,19.809204816818237,19.817580461502075,19.7708101272583,19.610360622406006,19.170790672302246,383.3239824771881,26.817248821258545,17.977986574172974,18.770745992660522,17.330094575881958
28,17.08172631263733,17.821638822555542,19.72312068939209,24.46686816215515,26.471226930618286,19.452285766601562,19.419800519943237,19.30815315246582,17.93937849998474,438.0644428730011,26.654795169830322,17.41888952255249,18.053222179412842,16.58515954017639
29,14.537899255752563,15.26222825050354,15.625854253768921,16.036399602890015,16.41127038002014,16.361250638961792,16.484622478485107,16.49247980117798,16.197878122329712,491.0339660644531,22.810816526412964,15.191449403762817,16.21968650817871,14.933082103729248
30,17.479690313339233,18.38039541244507,18.93446636199951,19.462644815444946,19.71496868133545,19.176721334457397,18.49556040763855,18.412859201431274,18.57522749900818,399.1200885772705,26.291090488433838,17.23989701271057,18.288641691207886,17.15041184425354
31,17.57088613510132,18.554333686828613,18.98017644882202,19.627200841903687,20.093759775161743,20.081239700317383,20.061863660812378,19.969759225845337,19.303172826766968,431.0213897228241,27.477237224578857,18.380634784698486,19.521373748779297,17.89654016494751
32,16.047564029693604,16.96145510673523,17.489457845687866,18.18803644180298,18.915584802627563,18.736395835876465,18.780413389205933,18.76704502105713,18.79133129119873,404.33296298980713,24.929401874542236,16.975568771362305,18.107808828353882,17.060535669326782
33,16.728872060775757,17.59699511528015,18.069736003875732,18.75666856765747,19.24386978149414,19.193790435791016,18.937299489974976,18.800645112991333,18.74265217781067,379.42564153671265,26.09986186027527,17.127350091934204,18.724295139312744,17.18297052383423
34,14.717103958129883,15.324257373809814,15.710542440414429,16.14704394340515,16.52563190460205,16.47558617591858,16.58804726600647,16.580966472625732,16.1510648727417,488.60860991477966,22.934340000152588,15.261104822158813,16.285090446472168,14.981456279754639
35,17.50778102874756,18.32793879508972,19.408656120300293,19.737387895584106,20.110666513442993,19.972156524658203,19.96901822090149,19.480494737625122,18.829802989959717,447.5739948749542,27.148207902908325,17.877949953079224,18.863707780838013,17.203409910202026
36,16.392287731170654,17.342981100082397,17.708763360977173,18.34289312362671,18.780926942825317,18.780412673950195,18.785927772521973,18.68698525428772,18.673375606536865,436.0235378742218,25.734577417373657,16.98078680038452,18.478926420211792,16.964168787002563
37,16.501644134521484,17.33177638053894,17.83450984954834,18.48558235168457,19.309829473495483,19.001643896102905,19.035056591033936,19.01730966567993,18.799433708190918,434.74177408218384,26.2116801738739,17.357513904571533,18.505175590515137,16.592556476593018
38,15.670347690582275,16.33993101119995,16.73525643348694,17.57136631011963,18.148250579833984,18.168920516967773,18.438053846359253,18.609745264053345,18.632415294647217,51.130974769592285,24.72538137435913,16.039421319961548,17.164498329162598,16.11281108856201
39,14.920932054519653,15.489108562469482,15.891469240188599,16.340115070343018,16.702394008636475,19.02728533744812,16.748785734176636,16.70900821685791,16.0540828704834,485.3501408100128,23.25068497657776,16.206620693206787,16.41446805000305,15.054316759109497
40,16.62219214439392,17.56731390953064,17.931931972503662,20.004998683929443,19.030874013900757,19.107486724853516,19.118844509124756,19.103874921798706,18.920510292053223,433.5016944408417,26.160532236099243,17.417984008789062,18.58174157142639,16.72049355506897
41,17.14067268371582,17.95885419845581,18.685121774673462,20.904188632965088,19.774877309799194,19.73199224472046,19.71036648750305,19.502999305725098,18.95136260986328,448.9378151893616,26.784361600875854,17.592373371124268,18.6639142036438,17.130136251449585
42,14.566483736038208,15.295695304870605,15.679936408996582,16.08053421974182,16.460386991500854,16.373499155044556,16.508687496185303,16.519558906555176,16.20280957221985,492.2193236351013,22.84036612510681,16.878212451934814,16.40589690208435,14.852298259735107
43,16.30225920677185,17.23988628387451,17.697542905807495,18.278403759002686,18.806225538253784,18.81524658203125,18.71682381629944,18.765126943588257,18.81674337387085,377.0113136768341,27.012071132659912,17.938769817352295,18.88523292541504,17.686441898345947
44,16.161661863327026,17.208433628082275,17.637264728546143,18.463625192642212,18.747856616973877,18.854912757873535,18.866750240325928,18.852431535720825,18.84581232070923,422.25793647766113,25.828070878982544,16.991994619369507,18.335140705108643,16.90164875984192
45,14.59646487236023,15.203460693359375,15.589881658554077,16.012000799179077,16.38211226463318,16.327221393585205,16.445188760757446,16.48211669921875,16.063794136047363,489.22671937942505,22.78989601135254,15.15736985206604,16.196728229522705,14.912954568862915
46,16.281843662261963,17.152926445007324,17.62331509590149,18.261871337890625,18.697391271591187,18.696518182754517,18.60225510597229,18.608755826950073,18.639652729034424,398.2900655269623,25.54680061340332,16.861566305160522,18.34544014930725,16.94938015937805
47,16.7565975189209,17.58827042579651,18.085118055343628,18.786349296569824,19.264071702957153,19.198333024978638,18.88727831840515,19.004034280776978,18.919023752212524,378.2237708568573,25.721094846725464,16.972629070281982,18.34453248977661,16.994182348251343
48,16.622722148895264,17.638141870498657,18.569915771484375,19.13092064857483,20.939294576644897,22.970833778381348,19.92982840538025,19.925919771194458,19.66648030281067,449.74895763397217,27.403616189956665,17.781792163848877,19.031492948532104,17.547373294830322
49,16.216106414794922,17.17955780029297,17.542717933654785,18.525511980056763,18.599958419799805,18.606464862823486,18.47883105278015,18.25009036064148,18.230005264282227,435.6365239620209,24.965770959854126,16.41298484802246,18.072776794433594,16.49463152885437
50,17.33453106880188,18.16087293624878,18.852821826934814,19.568514823913574,19.99580979347229,19.925822973251343,19.91151714324951,19.42372417449951,18.738946676254272,448.09188175201416,27.07698965072632,17.73326802253723,18.914520740509033,17.22252917289734
51,16.618547201156616,17.50407075881958,17.965405464172363,18.65575623512268,19.131619215011597,19.086803436279297,18.795451879501343,18.6677348613739,18.625919818878174,379.26496171951294,25.633454084396362,16.95715594291687,18.52688455581665,16.74750804901123
52,17.37819194793701,18.194324731826782,18.811541318893433,19.453509092330933,19.846606969833374,19.834635496139526,19.836328506469727,19.46452260017395,18.80844783782959,448.4303050041199,26.97738027572632,17.850958108901978,18.99983048439026,17.291426181793213
53,16.685110569000244,17.470717668533325,18.08707857131958,18.874958038330078,19.397364854812622,18.87489914894104,18.7866370677948,18.659558057785034,17.973475217819214,452.52962732315063,25.30152177810669,16.755297422409058,18.06792712211609,16.23686456680298
54,14.937377691268921,15.736244440078735,15.921259641647339,16.389357089996338,16.741849184036255,18.969082593917847,16.779110193252563,16.75244426727295,16.071308851242065,485.3869116306305,23.228705406188965,16.135042905807495,16.487541675567627,15.083138465881348
55,17.10506558418274,17.93390679359436,18.629406929016113,19.33558964729309,19.816521883010864,19.69048571586609,19.689629077911377,19.416818857192993,18.775996685028076,448.5717935562134,26.755982398986816,17.51799988746643,18.7569842338562,17.029847860336304
56,16.02835774421692,17.031959533691406,17.848154306411743,18.37366247177124,19.043373584747314,19.17081046104431,19.1807382106781,19.15627884864807,19.129087448120117,424.3143403530121,25.0549738407135,17.369215965270996,18.78316640853882,17.162041664123535
57,16.514423847198486,17.359522819519043,17.836910247802734,18.549710988998413,18.935930252075195,18.9086172580719,18.83960747718811,18.829765558242798,18.80640149116516,402.8683714866638,25.71225595474243,17.064867973327637,18.516998767852783,17.019193172454834
58,16.77553153038025,17.55879545211792,18.152161121368408,18.731399536132812,19.17432928085327,19.116740465164185,19.11743998527527,18.989670038223267,18.31686496734619,451.97917318344116,26.049920082092285,17.2149019241333,18.578148365020752,16.72816562652588
59,16.786890268325806,17.763936042785645,18.14368772506714,18.75443124771118,19.242411851882935,19.24508810043335,19.242899417877197,19.146964073181152,19.00572395324707,435.469792842865,26.291942596435547,17.454347848892212,19.010585069656372,17.316335678100586
60,16.17937135696411,17.351192951202393,18.064942121505737,18.560893774032593,19.123027086257935,19.24692177772522,19.22121834754944,19.21218729019165,19.101664304733276,450.511568069458,25.781401872634888,16.706129550933838,17.985870361328125,16.90831470489502
61,16.562873125076294,17.352697610855103,17.834696769714355,18.506009578704834,18.930180549621582,18.813871145248413,18.546053171157837,18.457916021347046,18.43847370147705,378.28668761253357,25.16476607322693,16.923792600631714,18.115834712982178,16.82482409477234
62,16.717875003814697,17.54303479194641,18.011605739593506,18.660184383392334,19.126969575881958,19.140083074569702,19.03946042060852,19.184540510177612,19.087968111038208,386.0128219127655,26.743396759033203,17.507772207260132,18.813199758529663,17.48631238937378
63,16.70505690574646,17.76089334487915,18.13790988922119,18.728084087371826,19.19360852241516,19.197718858718872,19.19869351387024,19.106467247009277,19.062163591384888,437.2145137786865,26.25587558746338,17.416502237319946,19.19732141494751,17.280994653701782
64,16.765816926956177,17.644214153289795,18.14462685585022,18.82325291633606,19.246047019958496,19.17952871322632,18.97439455986023,19.120537757873535,18.963342905044556,378.6748366355896,25.799242973327637,17.040659427642822,18.3756422996521,17.01049828529358
65,17.38351798057556,18.268792152404785,18.804994106292725,19.31020212173462,19.652093648910522,19.093583345413208,18.458667039871216,18.45191478729248,18.440922498703003,397.4718508720398,25.818872213363647,17.027241706848145,18.071097135543823,16.99935555458069
66,16.014564752578735,17.172807693481445,17.852657794952393,18.343427658081055,18.911008834838867,18.979777812957764,18.96845769882202,18.98019289970398,18.924275398254395,443.2191355228424,26.112290382385254,17.041173934936523,18.458422422409058,17.121596097946167
67,16.363563299179077,17.15359926223755,19.56296992301941,18.66616463661194,18.936607122421265,18.871861457824707,18.86945605278015,18.73986315727234,18.045390129089355,452.5620939731598,25.608797788619995,16.830517292022705,18.073638439178467,16.29572033882141
68,16.723504066467285,17.53624391555786,18.17962908744812,19.028493642807007,21.67448592185974,19.319100618362427,19.309679985046387,19.023836851119995,18.337763786315918,449.89156770706177,26.190629243850708,17.184497594833374,18.272062063217163,16.68232488632202
69,16.25467562675476,17.298130989074707,17.789064168930054,19.422409057617188,18.84256362915039,18.953652143478394,18.975045919418335,18.96359872817993,18.996721982955933,420.78097319602966,25.871193885803223,17.062767267227173,18.593894958496094,17.010900259017944
70,16.6417396068573,17.556741952896118,17.980597257614136,18.67471170425415,19.120770692825317,19.24055504798889,19.27184009552002,19.265061140060425,18.888519763946533,437.2175648212433,26.238641500473022,17.412404537200928,18.306316614151,16.608784437179565
71,16.472467184066772,17.54344344139099,17.85866069793701,18.457672834396362,18.974367380142212,18.917365312576294,18.918962717056274,18.817166090011597,18.799635648727417,436.7643060684204,25.853368043899536,17.11212468147278,18.74784564971924,17.06568670272827
72,16.82483696937561,17.68776512145996,18.1797137260437,18.854833126068115,19.312119007110596,19.247599601745605,19.180710554122925,19.18987274169922,19.0383882522583,402.286657333374,26.247416496276855,17.492656230926514,18.976048707962036,17.277742385864258
73,16.708350658416748,17.607235431671143,18.093019247055054,18.76300835609436,19.19222354888916,19.16057014465332,19.093610048294067,19.107975482940674,18.960628747940063,401.0746111869812,25.559695959091187,16.936108589172363,18.444580554962158,16.96861958503723
74,16.648667335510254,17.4245502948761,18.01704430580139,18.6353702545166,19.043678045272827,18.992496967315674,19.028732776641846,18.90532660484314,18.181724786758423,453.00352692604065,25.81012225151062,17.09154987335205,18.332630395889282,16.566754579544067
75,15.727559089660645,16.725579500198364,17.62057399749756,18.112913370132446,18.983912229537964,19.890047073364258,18.79460334777832,18.998363494873047,18.79798984527588,395.93677711486816,24.410945177078247,16.178621292114258,17.78147864341736,17.207988739013672
76,14.66554570198059,15.253102779388428,15.633397340774536,16.09104561805725,16.468536138534546,19.793138027191162,16.487425327301025,16.466386079788208,15.837682247161865,485.8010070323944,22.803597688674927,16.92810845375061,16.16787815093994,14.82665205001831
77,16.312082052230835,17.168134450912476,17.605143308639526,18.257527351379395,18.720734119415283,18.739860773086548,18.566723585128784,18.421655654907227,18.453670978546143,359.73846650123596,25.384040117263794,16.196502208709717,17.328969478607178,16.310529470443726
78,16.81377601623535,18.30098295211792,18.16727304458618,18.797616958618164,19.261316299438477,19.253150701522827,19.259870052337646,19.143068075180054,18.95557165145874,434.68632102012634,26.30114197731018,17.457547426223755,19.008570671081543,17.30887722969055
79,16.70206093788147,17.514679193496704,18.096987009048462,18.789453268051147,19.156589031219482,19.102272272109985,19.168848037719727,19.045650482177734,18.328838348388672,453.00459575653076,25.963324785232544,17.15409755706787,18.444342851638794,16.4312481880188
80,16.897910118103027,17.76217007637024,18.242424488067627,18.901747703552246,19.412894248962402,19.377057790756226,19.300954818725586,19.4094717502594,19.225698232650757,386.22120475769043,27.882792711257935,18.17028260231018,19.61916446685791,18.14795160293579
81,16.960466623306274,17.952041149139404,18.33084774017334,19.010631561279297,19.40475821495056,19.406764268875122,19.397191762924194,19.27448081970215,19.045171976089478,434.214821100235,26.504035234451294,17.614804983139038,18.97059440612793,17.43815541267395
82,17.251304149627686,18.20729970932007,18.643642902374268,19.265118837356567,19.734994173049927,19.729722261428833,19.70670199394226,19.592543363571167,19.18115735054016,432.39864015579224,27.019949436187744,17.977290868759155,19.24506139755249,17.682223081588745
83,14.711318254470825,15.42493462562561,15.821937084197998,16.23979139328003,16.653858184814453,16.57875633239746,16.68663716316223,16.761333227157593,16.273422956466675,489.82993626594543,23.42228388786316,16.81008768081665,16.40853786468506,15.00093126296997
84,16.684559106826782,17.584131956100464,18.10808515548706,18.960026741027832,19.514298915863037,19.3069486618042,19.337324619293213,19.32650923728943,19.053962230682373,438.2378067970276,26.485665321350098,17.486780405044556,18.446235179901123,16.80485987663269
85,16.61546015739441,17.306941747665405,18.029003620147705,18.97349238395691,19.36613702774048,19.61777901649475,19.839104413986206,19.852405071258545,19.52599573135376,73.75455260276794,25.9186909198761,16.984233379364014,18.147255182266235,17.248005151748657
86,17.245784997940063,18.231212854385376,18.947733402252197,19.242645740509033,19.698533296585083,19.685843229293823,19.67349338531494,19.57006549835205,19.157280206680298,432.24836826324463,26.957523345947266,17.942681550979614,19.225867986679077,17.657787561416626
87,16.735610961914062,17.592206478118896,18.07542872428894,18.725134134292603,19.187134742736816,19.15520191192627,19.102497339248657,19.1162691116333,19.011622190475464,401.07108306884766,25.51215887069702,16.91573214530945,18.380502462387085,16.880375862121582
88,14.638312578201294,15.273249626159668,15.655740976333618,16.084844827651978,16.477223873138428,16.402350187301636,16.496381282806396,16.514920711517334,16.14154052734375,490.08022260665894,22.85305380821228,15.216153383255005,16.24721121788025,14.951841354370117
89,16.71408247947693,17.628966808319092,18.092108726501465,18.763672351837158,19.23246145248413,19.199947834014893,18.929189682006836,18.826368808746338,18.76477313041687,377.32035851478577,25.815750122070312,16.97566533088684,18.373396158218384,16.974973917007446
90,16.61479878425598,17.395519495010376,17.979271173477173,18.6324565410614,19.033350229263306,19.000229358673096,19.00896453857422,18.895334482192993,18.177783489227295,453.17290210723877,25.70791792869568,17.051443815231323,18.32241439819336,16.505093574523926
91,16.863888263702393,17.74286150932312,18.248223304748535,18.885226488113403,19.354355335235596,19.327977657318115,19.253084897994995,19.368837356567383,19.234066247940063,385.76152086257935,27.864247798919678,18.188584327697754,19.416399240493774,18.114306449890137
92,16.263640642166138,17.451051950454712,18.163678407669067,18.659135818481445,19.25512981414795,19.309176683425903,19.28450083732605,19.32323431968689,19.187238454818726,448.90968585014343,26.645581245422363,17.254871129989624,18.66615104675293,17.418898344039917
93,16.643162965774536,17.501505851745605,17.960594654083252,18.606825351715088,19.148155450820923,19.135236978530884,19.039968490600586,19.12827730178833,19.073960781097412,387.19723105430603,27.45995855331421,17.954413414001465,19.156795501708984,17.891084671020508
94,14.684019088745117,15.445143222808838,15.65021276473999,16.09618830680847,16.528582096099854,19.73307967185974,16.51139521598816,16.47467565536499,15.858708143234253,486.10051941871643,22.845319747924805,16.55875062942505,16.414732694625854,14.86352252960205
95,15.997111082077026,17.163209676742554,17.8599853515625,18.353774309158325,18.906312465667725,19.004735231399536,18.982101440429688,18.984691381454468,18.929760932922363,447.15878677368164,26.20260715484619,16.957181215286255,18.293635368347168,17.161487340927124
96,17.229480028152466,18.107211589813232,18.634092092514038,19.265126943588257,19.721490144729614,19.683204412460327,19.61344337463379,19.618542909622192,19.240410327911377,398.8741240501404,26.890316486358643,17.948410034179688,19.364482402801514,17.577404975891113
97,17.28655743598938,18.21012544631958,18.72353172302246,19.386780261993408,19.83762526512146,19.797478437423706,19.74431014060974,19.746326684951782,19.42326831817627,399.2548146247864,27.07154655456543,18.043272972106934,19.29198694229126,17.72877597808838
98,16.14903211593628,16.91963028907776,17.490739822387695,18.227256059646606,18.658735990524292,18.57922077178955,18.558949947357178,18.563562631607056,17.913039207458496,451.84113359451294,25.200751304626465,16.60195803642273,17.655170440673828,16.196114540100098
99,14.741819620132446,15.346755027770996,15.7128427028656,16.15846276283264,16.42234778404236,19.48913550376892,16.45078134536743,16.448450326919556,15.844530582427979,485.8791513442993,22.87475275993347,16.86158061027527,16.14782452583313,14.835917949676514
